city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Rio do Antônio,2926806.0,2020-06-30,27,15371.0,False,False,4,26.02303,2020-06-30,0.0,0,0,0,35,city,BA
Rio do Pires,2926905.0,2020-06-30,27,11655.0,False,False,6,51.48005,2020-06-30,0.1667,1,0,0,82,city,BA
Rio Real,2927002.0,2020-06-30,27,40732.0,False,False,51,125.20868,2020-06-30,0.0,0,1,0,70,city,BA
Rodelas,2927101.0,2020-06-30,27,9331.0,False,False,8,85.73572,2020-06-30,0.0,0,0,0,50,city,BA
Ruy Barbosa,2927200.0,2020-06-30,27,30814.0,False,False,83,269.35808,2020-06-30,0.012,1,1,0,49,city,BA
Salinas da Margarida,2927309.0,2020-06-30,27,15667.0,False,False,13,82.97696,2020-06-30,0.0769,1,0,0,35,city,BA
Salvador,2927408.0,2020-06-30,27,2872347.0,False,False,33505,1166.4677,2020-06-30,0.0347,1163,906,34,110,city,BA
Santa Bárbara,2927507.0,2020-06-30,27,20791.0,False,False,131,630.08032,2020-06-30,0.0,0,5,0,64,city,BA
Santa Brígida,2927606.0,2020-06-30,27,14213.0,False,False,14,98.50137,2020-06-30,0.0,0,1,0,38,city,BA
Santa Cruz Cabrália,2927705.0,2020-06-30,27,27778.0,False,False,113,406.79675,2020-06-30,0.0088,1,5,0,90,city,BA
Santa Cruz da Vitória,2927804.0,2020-06-30,27,6315.0,False,False,11,174.18844,2020-06-30,0.0909,1,0,0,31,city,BA
Santa Inês,2927903.0,2020-06-30,27,10631.0,False,False,8,75.25162,2020-06-30,0.125,1,0,0,36,city,BA
Santaluz,2928000.0,2020-06-30,27,37348.0,False,False,69,184.74885,2020-06-30,0.0145,1,5,0,65,city,BA
Santa Luzia,2928059.0,2020-06-30,27,12597.0,False,False,20,158.76796,2020-06-30,0.0,0,0,0,83,city,BA
Santa Maria da Vitória,2928109.0,2020-06-30,27,39845.0,False,False,1,2.50973,2020-06-30,0.0,0,-5,0,87,city,BA
Santana,2928208.0,2020-06-30,27,26614.0,False,False,0,,2020-06-30,0.0,0,-2,0,4,city,BA
Santanópolis,2928307.0,2020-06-30,27,8943.0,False,False,24,268.36632,2020-06-30,0.0,0,1,0,54,city,BA
Santa Rita de Cássia,2928406.0,2020-06-30,27,28338.0,False,False,12,42.34597,2020-06-30,0.0833,1,0,0,33,city,BA
Santa Teresinha,2928505.0,2020-06-30,27,10405.0,False,False,22,211.43681,2020-06-30,0.0455,1,0,0,78,city,BA
Santo Amaro,2928604.0,2020-06-30,27,60069.0,False,False,194,322.96193,2020-06-30,0.0155,3,24,0,63,city,BA
Santo Antônio de Jesus,2928703.0,2020-06-30,27,101512.0,False,False,410,403.89314,2020-06-30,0.0171,7,5,1,60,city,BA
Santo Estêvão,2928802.0,2020-06-30,27,52850.0,False,False,39,73.79376,2020-06-30,0.0256,1,0,0,53,city,BA
São Desidério,2928901.0,2020-06-30,27,33742.0,False,False,60,177.81993,2020-06-30,0.0,0,0,0,48,city,BA
São Domingos,2928950.0,2020-06-30,27,9058.0,False,False,6,66.23979,2020-06-30,0.0,0,0,0,98,city,BA
São Felipe,2929107.0,2020-06-30,27,21074.0,False,False,22,104.39404,2020-06-30,0.0,0,2,0,64,city,BA
São Félix,2929008.0,2020-06-30,27,14740.0,False,False,22,149.25373,2020-06-30,0.0,0,1,0,34,city,BA
São Félix do Coribe,2929057.0,2020-06-30,27,15391.0,False,False,2,12.99461,2020-06-30,0.0,0,1,0,4,city,BA
São Francisco do Conde,2929206.0,2020-06-30,27,39802.0,False,False,227,570.3231,2020-06-30,0.0176,4,5,0,86,city,BA
São Gabriel,2929255.0,2020-06-30,27,18793.0,False,False,4,21.28452,2020-06-30,0.0,0,0,0,26,city,BA
São Gonçalo dos Campos,2929305.0,2020-06-30,27,37550.0,False,False,110,292.94274,2020-06-30,0.0182,2,1,0,60,city,BA
São José da Vitória,2929354.0,2020-06-30,27,5657.0,False,False,63,1113.66449,2020-06-30,0.0159,1,1,0,69,city,BA
São José do Jacuípe,2929370.0,2020-06-30,27,10462.0,False,False,4,38.23361,2020-06-30,0.25,1,1,0,33,city,BA
São Miguel das Matas,2929404.0,2020-06-30,27,11675.0,False,False,3,25.69593,2020-06-30,0.0,0,0,0,22,city,BA
São Sebastião do Passé,2929503.0,2020-06-30,27,44300.0,False,False,179,404.06321,2020-06-30,0.0223,4,2,0,57,city,BA
Sapeaçu,2929602.0,2020-06-30,27,17398.0,False,False,25,143.69468,2020-06-30,0.0,0,0,0,39,city,BA
Sátiro Dias,2929701.0,2020-06-30,27,17273.0,False,False,19,109.99826,2020-06-30,0.0,0,0,0,68,city,BA
Saubara,2929750.0,2020-06-30,27,12043.0,False,False,35,290.62526,2020-06-30,0.0571,2,0,0,60,city,BA
Saúde,2929800.0,2020-06-30,27,12913.0,False,False,0,,2020-06-30,0.0,0,0,0,47,city,BA
Seabra,2929909.0,2020-06-30,27,44091.0,False,False,24,54.43288,2020-06-30,0.0417,1,-3,0,64,city,BA
Senhor do Bonfim,2930105.0,2020-06-30,27,79015.0,False,False,141,178.44713,2020-06-30,0.0071,1,0,0,50,city,BA
Sento Sé,2930204.0,2020-06-30,27,40684.0,False,False,25,61.44922,2020-06-30,0.0,0,0,0,47,city,BA
Serra do Ramalho,2930154.0,2020-06-30,27,31472.0,False,False,8,25.41942,2020-06-30,0.0,0,0,0,80,city,BA
Serra Dourada,2930303.0,2020-06-30,27,17386.0,False,False,0,,2020-06-30,0.0,0,0,0,29,city,BA
Serra Preta,2930402.0,2020-06-30,27,14878.0,False,False,20,134.42667,2020-06-30,0.0,0,0,0,70,city,BA
Serrinha,2930501.0,2020-06-30,27,80861.0,False,False,230,284.43873,2020-06-30,0.013,3,9,0,84,city,BA
Serrolândia,2930600.0,2020-06-30,27,13397.0,False,False,22,164.21587,2020-06-30,0.0,0,1,0,55,city,BA
Simões Filho,2930709.0,2020-06-30,27,134377.0,False,False,890,662.31572,2020-06-30,0.0303,27,14,0,88,city,BA
Sítio do Quinto,2930766.0,2020-06-30,27,9986.0,False,False,24,240.33647,2020-06-30,0.0,0,1,0,28,city,BA
Sobradinho,2930774.0,2020-06-30,27,23191.0,False,False,146,629.55457,2020-06-30,0.0616,9,4,0,48,city,BA
Souto Soares,2930808.0,2020-06-30,27,16979.0,False,False,4,23.55851,2020-06-30,0.0,0,0,0,37,city,BA
Tabocas do Brejo Velho,2930907.0,2020-06-30,27,12518.0,False,False,7,55.91948,2020-06-30,0.0,0,0,0,41,city,BA
Tanhaçu,2931004.0,2020-06-30,27,20403.0,False,False,0,,2020-06-30,0.0,0,0,0,33,city,BA
Tanque Novo,2931053.0,2020-06-30,27,17366.0,False,False,0,,2020-06-30,0.0,0,0,0,26,city,BA
Tanquinho,2931103.0,2020-06-30,27,7918.0,False,False,29,366.2541,2020-06-30,0.0345,1,0,0,33,city,BA
Taperoá,2931202.0,2020-06-30,27,21074.0,False,False,37,175.57179,2020-06-30,0.0,0,5,0,77,city,BA
Tapiramutá,2931301.0,2020-06-30,27,17010.0,False,False,3,17.63668,2020-06-30,0.0,0,0,0,6,city,BA
Teixeira de Freitas,2931350.0,2020-06-30,27,160487.0,False,False,1272,792.58756,2020-06-30,0.0126,16,14,0,99,city,BA
Teodoro Sampaio,2931400.0,2020-06-30,27,7425.0,False,False,13,175.08418,2020-06-30,0.0,0,0,0,21,city,BA
Teofilândia,2931509.0,2020-06-30,27,22518.0,False,False,144,639.48841,2020-06-30,0.0,0,1,0,48,city,BA
Teolândia,2931608.0,2020-06-30,27,14943.0,False,False,52,347.98902,2020-06-30,0.0,0,0,0,26,city,BA
Terra Nova,2931707.0,2020-06-30,27,13033.0,False,False,64,491.06115,2020-06-30,0.0156,1,3,0,36,city,BA
Tremedal,2931806.0,2020-06-30,27,16394.0,False,False,3,18.29938,2020-06-30,0.0,0,0,0,26,city,BA
Tucano,2931905.0,2020-06-30,27,50687.0,False,False,27,53.2681,2020-06-30,0.037,1,3,0,56,city,BA
Uauá,2932002.0,2020-06-30,27,24240.0,False,False,21,86.63366,2020-06-30,0.0,0,3,0,33,city,BA
Ubaíra,2932101.0,2020-06-30,27,19895.0,False,False,5,25.13194,2020-06-30,0.0,0,0,0,41,city,BA
Ubaitaba,2932200.0,2020-06-30,27,19056.0,False,False,89,467.0445,2020-06-30,0.0225,2,2,0,66,city,BA
Ubatã,2932309.0,2020-06-30,27,27035.0,False,False,91,336.6007,2020-06-30,0.022,2,12,0,83,city,BA
Uibaí,2932408.0,2020-06-30,27,13887.0,False,False,4,28.80392,2020-06-30,0.0,0,0,0,26,city,BA
Umburanas,2932457.0,2020-06-30,27,19222.0,False,False,79,410.98741,2020-06-30,0.0,0,0,0,53,city,BA
Una,2932507.0,2020-06-30,27,19002.0,False,False,23,121.03989,2020-06-30,0.0,0,6,0,78,city,BA
Urandi,2932606.0,2020-06-30,27,16658.0,False,False,124,744.38708,2020-06-30,0.0161,2,0,0,44,city,BA
Uruçuca,2932705.0,2020-06-30,27,20519.0,False,False,261,1271.99181,2020-06-30,0.0536,14,14,0,88,city,BA
Utinga,2932804.0,2020-06-30,27,19178.0,False,False,3,15.64292,2020-06-30,0.3333,1,0,0,89,city,BA
Valença,2932903.0,2020-06-30,27,96562.0,False,False,539,558.19059,2020-06-30,0.0297,16,5,0,75,city,BA
