city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Rubim,3156601.0,2020-06-22,26,10241.0,False,False,1,9.76467,2020-06-22,0.0,0,0,0,3,city,MG
Sabará,3156700.0,2020-06-22,26,136344.0,False,False,120,88.01267,2020-06-22,0.0167,2,7,0,88,city,MG
Sabinópolis,3156809.0,2020-06-22,26,15470.0,False,False,1,6.46412,2020-06-22,0.0,0,0,0,2,city,MG
Sacramento,3156908.0,2020-06-22,26,26185.0,False,False,2,7.63796,2020-06-22,0.0,0,0,0,43,city,MG
Salinas,3157005.0,2020-06-22,26,41527.0,False,False,79,190.23768,2020-06-22,0.0127,1,0,0,14,city,MG
Salto da Divisa,3157104.0,2020-06-22,26,7009.0,False,False,2,28.53474,2020-06-22,0.0,0,0,0,41,city,MG
Santa Bárbara,3157203.0,2020-06-22,26,31324.0,False,False,113,360.74575,2020-06-22,0.0,0,15,0,46,city,MG
Santa Bárbara do Leste,3157252.0,2020-06-22,26,8147.0,False,False,11,135.01903,2020-06-22,0.0,0,0,0,12,city,MG
Santa Bárbara do Tugúrio,3157302.0,2020-06-22,26,4430.0,False,False,4,90.29345,2020-06-22,0.0,0,0,0,8,city,MG
Santa Cruz de Minas,3157336.0,2020-06-22,26,8604.0,False,False,15,174.33752,2020-06-22,0.1333,2,2,0,42,city,MG
Santa Efigênia de Minas,3157500.0,2020-06-22,26,4409.0,False,False,1,22.68088,2020-06-22,1.0,1,0,0,17,city,MG
Santa Helena de Minas,3157658.0,2020-06-22,26,6366.0,False,False,2,31.4169,2020-06-22,0.0,0,0,0,20,city,MG
Santa Juliana,3157708.0,2020-06-22,26,14003.0,False,False,44,314.21838,2020-06-22,0.0227,1,15,1,18,city,MG
Santa Luzia,3157807.0,2020-06-22,26,219134.0,False,False,188,85.79225,2020-06-22,0.0213,4,10,0,86,city,MG
Santa Margarida,3157906.0,2020-06-22,26,16208.0,False,False,13,80.20731,2020-06-22,0.0,0,0,0,49,city,MG
Santa Maria de Itabira,3158003.0,2020-06-22,26,10847.0,False,False,8,73.75311,2020-06-22,0.0,0,0,0,75,city,MG
Santa Maria do Salto,3158102.0,2020-06-22,26,5232.0,False,False,1,19.11315,2020-06-22,0.0,0,0,0,6,city,MG
Santana da Vargem,3158300.0,2020-06-22,26,7100.0,False,False,5,70.42254,2020-06-22,0.0,0,1,0,24,city,MG
Santana de Cataguases,3158409.0,2020-06-22,26,3872.0,False,False,2,51.65289,2020-06-22,0.0,0,0,0,48,city,MG
Santana de Pirapama,3158508.0,2020-06-22,26,7642.0,False,False,1,13.08558,2020-06-22,0.0,0,0,0,25,city,MG
Santana do Deserto,3158607.0,2020-06-22,26,3976.0,False,False,18,452.7163,2020-06-22,0.0556,1,0,1,27,city,MG
Santana do Manhuaçu,3158904.0,2020-06-22,26,8674.0,False,False,2,23.05741,2020-06-22,0.0,0,1,0,3,city,MG
Santana do Paraíso,3158953.0,2020-06-22,26,34663.0,False,False,230,663.53172,2020-06-22,0.0261,6,25,1,82,city,MG
Santa Rita de Jacutinga,3159308.0,2020-06-22,26,4884.0,False,False,5,102.3751,2020-06-22,0.0,0,0,0,44,city,MG
Santa Rita do Sapucaí,3159605.0,2020-06-22,26,43260.0,False,False,6,13.86963,2020-06-22,0.0,0,1,0,54,city,MG
Santa Rosa da Serra,3159704.0,2020-06-22,26,3350.0,False,False,2,59.70149,2020-06-22,0.0,0,0,0,31,city,MG
Santa Vitória,3159803.0,2020-06-22,26,19742.0,False,False,10,50.65343,2020-06-22,0.0,0,4,0,30,city,MG
Santo Antônio do Amparo,3159902.0,2020-06-22,26,18525.0,False,False,2,10.79622,2020-06-22,0.5,1,0,0,39,city,MG
Santo Antônio do Aventureiro,3160009.0,2020-06-22,26,3602.0,False,False,1,27.76235,2020-06-22,0.0,0,0,0,43,city,MG
Santo Antônio do Jacinto,3160306.0,2020-06-22,26,11640.0,False,False,16,137.45704,2020-06-22,0.0625,1,0,0,24,city,MG
Santo Antônio do Monte,3160405.0,2020-06-22,26,28243.0,False,False,29,102.68031,2020-06-22,0.0,0,0,0,82,city,MG
Santo Hipólito,3160603.0,2020-06-22,26,3087.0,False,False,8,259.15128,2020-06-22,0.0,0,0,0,14,city,MG
Santos Dumont,3160702.0,2020-06-22,26,46487.0,False,False,47,101.10353,2020-06-22,0.0213,1,1,0,66,city,MG
São Bento Abade,3160801.0,2020-06-22,26,5286.0,False,False,2,37.83579,2020-06-22,0.0,0,0,0,3,city,MG
São Brás do Suaçuí,3160900.0,2020-06-22,26,3738.0,False,False,2,53.50455,2020-06-22,0.0,0,-1,0,73,city,MG
São Domingos das Dores,3160959.0,2020-06-22,26,5644.0,False,False,1,17.71793,2020-06-22,0.0,0,0,0,9,city,MG
São Domingos do Prata,3161007.0,2020-06-22,26,17359.0,False,False,3,17.2821,2020-06-22,0.0,0,0,0,39,city,MG
São Francisco,3161106.0,2020-06-22,26,56323.0,False,False,30,53.26421,2020-06-22,0.1333,4,0,0,62,city,MG
São Francisco de Paula,3161205.0,2020-06-22,26,6527.0,False,False,2,30.64195,2020-06-22,0.0,0,0,0,38,city,MG
São Francisco do Glória,3161403.0,2020-06-22,26,4844.0,False,False,5,103.22048,2020-06-22,0.2,1,0,0,47,city,MG
São Geraldo,3161502.0,2020-06-22,26,12366.0,False,False,3,24.26007,2020-06-22,0.0,0,0,0,28,city,MG
São Geraldo da Piedade,3161601.0,2020-06-22,26,3962.0,False,False,1,25.23978,2020-06-22,1.0,1,0,0,62,city,MG
São Gonçalo do Abaeté,3161700.0,2020-06-22,26,8389.0,False,False,5,59.60186,2020-06-22,0.0,0,0,0,10,city,MG
São Gonçalo do Pará,3161809.0,2020-06-22,26,12411.0,False,False,1,8.05737,2020-06-22,0.0,0,0,0,16,city,MG
São Gonçalo do Rio Abaixo,3161908.0,2020-06-22,26,10920.0,False,False,35,320.51282,2020-06-22,0.0286,1,1,0,35,city,MG
São Gonçalo do Rio Preto,3125507.0,2020-06-22,26,3167.0,False,False,1,31.57562,2020-06-22,0.0,0,0,0,11,city,MG
São Gonçalo do Sapucaí,3162005.0,2020-06-22,26,25449.0,False,False,2,7.85885,2020-06-22,0.0,0,0,0,38,city,MG
São Gotardo,3162104.0,2020-06-22,26,35469.0,False,False,24,67.66472,2020-06-22,0.0,0,9,0,73,city,MG
São João Batista do Glória,3162203.0,2020-06-22,26,7453.0,False,False,7,93.92191,2020-06-22,0.0,0,0,0,13,city,MG
São João da Lagoa,3162252.0,2020-06-22,26,4915.0,False,False,2,40.69176,2020-06-22,0.0,0,0,0,5,city,MG
São João da Mata,3162302.0,2020-06-22,26,2749.0,False,False,3,109.13059,2020-06-22,0.0,0,0,0,44,city,MG
São João da Ponte,3162401.0,2020-06-22,26,25165.0,False,False,1,3.97377,2020-06-22,0.0,0,0,0,5,city,MG
São João del Rei,3162500.0,2020-06-22,26,90082.0,False,False,159,176.50585,2020-06-22,0.0252,4,9,3,89,city,MG
São João do Manhuaçu,3162559.0,2020-06-22,26,11559.0,False,False,4,34.60507,2020-06-22,0.25,1,0,0,45,city,MG
São João do Manteninha,3162575.0,2020-06-22,26,5859.0,False,False,19,324.28742,2020-06-22,0.0,0,0,0,39,city,MG
São João do Oriente,3162609.0,2020-06-22,26,7498.0,False,False,4,53.34756,2020-06-22,0.5,2,0,0,25,city,MG
São João do Paraíso,3162708.0,2020-06-22,26,23618.0,False,False,9,38.10653,2020-06-22,0.0,0,0,0,48,city,MG
São João Evangelista,3162807.0,2020-06-22,26,15774.0,False,False,2,12.67909,2020-06-22,0.0,0,1,0,2,city,MG
São João Nepomuceno,3162906.0,2020-06-22,26,26361.0,False,False,14,53.10876,2020-06-22,0.0714,1,0,0,76,city,MG
São Joaquim de Bicas,3162922.0,2020-06-22,26,31578.0,False,False,54,171.00513,2020-06-22,0.0741,4,0,0,41,city,MG
São José da Barra,3162948.0,2020-06-22,26,7426.0,False,False,4,53.8648,2020-06-22,0.0,0,0,0,35,city,MG
São José da Lapa,3162955.0,2020-06-22,26,23766.0,False,False,27,113.60767,2020-06-22,0.0741,2,0,0,64,city,MG
São José da Safira,3163003.0,2020-06-22,26,4268.0,False,False,44,1030.92784,2020-06-22,0.0,0,0,0,24,city,MG
São José do Divino,3163300.0,2020-06-22,26,3860.0,False,False,3,77.72021,2020-06-22,0.0,0,0,0,23,city,MG
São José do Mantimento,3163607.0,2020-06-22,26,2791.0,False,False,3,107.48836,2020-06-22,0.0,0,0,0,6,city,MG
São Lourenço,3163706.0,2020-06-22,26,45851.0,False,False,66,143.94452,2020-06-22,0.0152,1,0,0,74,city,MG
São Miguel do Anta,3163805.0,2020-06-22,26,6938.0,False,False,1,14.41338,2020-06-22,0.0,0,0,0,12,city,MG
São Pedro do Suaçuí,3164100.0,2020-06-22,26,5246.0,False,False,3,57.18643,2020-06-22,0.0,0,0,0,17,city,MG
