city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
São João de Iracema,3549250.0,2020-06-23,26,1922.0,False,False,8,416.23309,2020-06-23,0.0,0,0,0,18,city,SP
São João do Pau d'Alho,3549300.0,2020-06-23,26,2105.0,False,False,1,47.50594,2020-06-23,0.0,0,0,0,41,city,SP
São Joaquim da Barra,3549409.0,2020-06-23,26,51888.0,False,False,89,171.52328,2020-06-23,0.0,0,8,0,69,city,SP
São José da Bela Vista,3549508.0,2020-06-23,26,8928.0,False,False,4,44.80287,2020-06-23,0.25,1,0,0,28,city,SP
São José do Rio Pardo,3549706.0,2020-06-23,26,54946.0,False,False,45,81.89859,2020-06-23,0.0889,4,7,0,85,city,SP
São José do Rio Preto,3549805.0,2020-06-23,26,460671.0,False,False,1900,412.44185,2020-06-23,0.0316,60,68,5,98,city,SP
São José dos Campos,3549904.0,2020-06-23,26,721944.0,False,False,2256,312.48961,2020-06-23,0.0359,81,126,9,98,city,SP
São Lourenço da Serra,3549953.0,2020-06-23,26,15825.0,False,False,49,309.63665,2020-06-23,0.0612,3,0,0,64,city,SP
São Luiz do Paraitinga,3550001.0,2020-06-23,26,10687.0,False,False,3,28.07149,2020-06-23,0.3333,1,1,0,48,city,SP
São Manuel,3550100.0,2020-06-23,26,40954.0,False,False,67,163.59818,2020-06-23,0.0448,3,0,0,81,city,SP
São Miguel Arcanjo,3550209.0,2020-06-23,26,32931.0,False,False,82,249.0055,2020-06-23,0.061,5,6,1,75,city,SP
São Paulo,3550308.0,2020-06-23,26,12252023.0,False,False,110214,899.55757,2020-06-23,0.0597,6583,2483,179,120,city,SP
São Pedro,3550407.0,2020-06-23,26,35653.0,False,False,97,272.06687,2020-06-23,0.0309,3,0,1,86,city,SP
São Pedro do Turvo,3550506.0,2020-06-23,26,7666.0,False,False,4,52.17845,2020-06-23,0.0,0,0,0,53,city,SP
São Roque,3550605.0,2020-06-23,26,91016.0,False,False,130,142.83203,2020-06-23,0.0538,7,2,0,78,city,SP
São Sebastião,3550704.0,2020-06-23,26,88980.0,False,False,413,464.14925,2020-06-23,0.0097,4,4,0,91,city,SP
São Sebastião da Grama,3550803.0,2020-06-23,26,12182.0,False,False,9,73.87949,2020-06-23,0.1111,1,0,0,62,city,SP
São Simão,3550902.0,2020-06-23,26,15322.0,False,False,12,78.31876,2020-06-23,0.0,0,0,0,33,city,SP
São Vicente,3551009.0,2020-06-23,26,365798.0,False,False,2433,665.12119,2020-06-23,0.0571,139,119,6,85,city,SP
Sarapuí,3551108.0,2020-06-23,26,10285.0,False,False,5,48.61449,2020-06-23,0.0,0,0,0,56,city,SP
Sarutaiá,3551207.0,2020-06-23,26,3638.0,False,False,2,54.97526,2020-06-23,0.0,0,0,0,49,city,SP
Sebastianópolis do Sul,3551306.0,2020-06-23,26,3513.0,False,False,3,85.3971,2020-06-23,0.0,0,0,0,16,city,SP
Serra Azul,3551405.0,2020-06-23,26,14662.0,False,False,7,47.74246,2020-06-23,0.0,0,0,0,47,city,SP
Serrana,3551504.0,2020-06-23,26,45107.0,False,False,79,175.13911,2020-06-23,0.0886,7,3,0,67,city,SP
Serra Negra,3551603.0,2020-06-23,26,29229.0,False,False,21,71.84645,2020-06-23,0.0,0,0,0,61,city,SP
Sertãozinho,3551702.0,2020-06-23,26,125815.0,False,False,206,163.73246,2020-06-23,0.0388,8,10,0,77,city,SP
Sete Barras,3551801.0,2020-06-23,26,12832.0,False,False,19,148.06733,2020-06-23,0.0526,1,0,0,50,city,SP
Severínia,3551900.0,2020-06-23,26,17496.0,False,False,21,120.02743,2020-06-23,0.0,0,0,0,42,city,SP
Silveiras,3552007.0,2020-06-23,26,6302.0,False,False,0,,2020-06-23,0.0,0,0,0,44,city,SP
Socorro,3552106.0,2020-06-23,26,41005.0,False,False,27,65.84563,2020-06-23,0.1481,4,2,1,60,city,SP
Sorocaba,3552205.0,2020-06-23,26,679378.0,False,False,2464,362.68469,2020-06-23,0.0386,95,249,6,89,city,SP
Sud Mennucci,3552304.0,2020-06-23,26,7718.0,False,False,8,103.6538,2020-06-23,0.0,0,0,0,50,city,SP
Sumaré,3552403.0,2020-06-23,26,282441.0,False,False,704,249.2556,2020-06-23,0.0369,26,37,4,78,city,SP
Suzano,3552502.0,2020-06-23,26,297637.0,False,False,1225,411.57517,2020-06-23,0.0792,97,48,3,97,city,SP
Tabapuã,3552601.0,2020-06-23,26,12407.0,False,False,108,870.47634,2020-06-23,0.037,4,2,1,43,city,SP
Tabatinga,3552700.0,2020-06-23,26,16496.0,False,False,33,200.0485,2020-06-23,0.0,0,0,0,49,city,SP
Taboão da Serra,3552809.0,2020-06-23,26,289664.0,False,False,1711,590.68438,2020-06-23,0.0684,117,40,1,91,city,SP
Taciba,3552908.0,2020-06-23,26,6285.0,False,False,3,47.7327,2020-06-23,0.0,0,2,0,4,city,SP
Taguaí,3553005.0,2020-06-23,26,13859.0,False,False,12,86.58633,2020-06-23,0.0,0,1,0,47,city,SP
