city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Juiz de Fora,3136702.0,2020-03-15,12,568873.0,False,True,1,0.17579,2020-03-14,0.0,0,0,0,2,city,MG
Patrocínio,3148103.0,2020-03-15,12,90757.0,False,True,1,1.10184,2020-03-14,0.0,0,0,0,2,city,MG
,31.0,2020-03-15,12,21168791.0,False,True,4,0.0189,2020-03-14,0.0,0,0,0,8,state,MG
Campo Grande,5002704.0,2020-03-15,12,895982.0,False,False,2,0.22322,2020-03-15,0.0,0,0,0,2,city,MS
,50.0,2020-03-15,12,2778986.0,False,False,2,0.07197,2020-03-15,0.0,0,0,0,2,state,MS
,25.0,2020-03-15,12,4018127.0,False,False,0,,2020-03-15,0.0,0,0,0,4,state,PB
Importados/Indefinidos,,2020-03-15,12,,False,False,1,,2020-03-15,0.0,0,0,0,2,city,PE
Recife,2611606.0,2020-03-15,12,1645727.0,False,False,7,0.42534,2020-03-15,0.0,0,1,0,4,city,PE
,26.0,2020-03-15,12,9557071.0,False,False,8,0.08371,2020-03-15,0.0,0,1,0,4,state,PE
Cianorte,4105508.0,2020-03-15,12,82620.0,False,True,1,1.21036,2020-03-13,0.0,0,0,0,4,city,PR
Curitiba,4106902.0,2020-03-15,12,1933105.0,False,True,5,0.25865,2020-03-13,0.0,0,0,0,4,city,PR
,41.0,2020-03-15,12,11433957.0,False,True,6,0.05248,2020-03-13,0.0,0,0,0,4,state,PR
Barra Mansa,3300407.0,2020-03-15,12,184412.0,False,False,1,0.54226,2020-03-15,0.0,0,0,0,11,city,RJ
Niterói,3303302.0,2020-03-15,12,513584.0,False,False,1,0.19471,2020-03-15,0.0,0,0,0,4,city,RJ
Rio de Janeiro,3304557.0,2020-03-15,12,6718903.0,False,False,22,0.32743,2020-03-15,0.0,0,9,0,10,city,RJ
,33.0,2020-03-15,12,17264943.0,False,False,24,0.13901,2020-03-15,0.0,0,9,0,11,state,RJ
Natal,2408102.0,2020-03-15,12,884122.0,False,True,1,0.11311,2020-03-13,0.0,0,0,0,4,city,RN
