city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Acrelândia,1200013.0,2020-07-02,27,15256.0,False,True,194,1271.63083,2020-07-01,0.0155,3,0,0,96,city,AC
Assis Brasil,1200054.0,2020-07-02,27,7417.0,False,True,186,2507.75246,2020-07-01,0.0269,5,0,0,63,city,AC
Brasiléia,1200104.0,2020-07-02,27,26278.0,False,True,407,1548.82411,2020-07-01,0.0147,6,0,0,55,city,AC
Bujari,1200138.0,2020-07-02,27,10266.0,False,True,204,1987.14202,2020-07-01,0.0147,3,0,0,86,city,AC
Capixaba,1200179.0,2020-07-02,27,11733.0,False,True,144,1227.3075900000001,2020-07-01,0.0347,5,0,0,56,city,AC
Cruzeiro do Sul,1200203.0,2020-07-02,27,88376.0,False,True,2079,2352.44863,2020-07-01,0.0168,35,0,0,81,city,AC
Epitaciolândia,1200252.0,2020-07-02,27,18411.0,False,True,172,934.22411,2020-07-01,0.0349,6,0,0,57,city,AC
Feijó,1200302.0,2020-07-02,27,34780.0,False,True,262,753.3065,2020-07-01,0.0191,5,0,0,62,city,AC
Jordão,1200328.0,2020-07-02,27,8317.0,False,True,39,468.91908,2020-07-01,0.0,0,0,0,46,city,AC
Mâncio Lima,1200336.0,2020-07-02,27,18977.0,False,True,156,822.0477400000001,2020-07-01,0.0192,3,0,0,65,city,AC
Manoel Urbano,1200344.0,2020-07-02,27,9459.0,False,True,51,539.16905,2020-07-01,0.0196,1,0,0,51,city,AC
Marechal Thaumaturgo,1200351.0,2020-07-02,27,18867.0,False,True,162,858.6420699999999,2020-07-01,0.0062,1,0,0,52,city,AC
Plácido de Castro,1200385.0,2020-07-02,27,19761.0,False,True,295,1492.83943,2020-07-01,0.0203,6,0,0,88,city,AC
Porto Acre,1200807.0,2020-07-02,27,18504.0,False,True,272,1469.95244,2020-07-01,0.0221,6,0,0,96,city,AC
Porto Walter,1200393.0,2020-07-02,27,11982.0,False,True,51,425.63845999999995,2020-07-01,0.0,0,0,0,51,city,AC
Rio Branco,1200401.0,2020-07-02,27,407319.0,False,True,7002,1719.0457600000002,2020-07-01,0.0376,263,0,0,108,city,AC
Rodrigues Alves,1200427.0,2020-07-02,27,18930.0,False,True,94,496.5663,2020-07-01,0.0426,4,0,0,52,city,AC
Santa Rosa do Purus,1200435.0,2020-07-02,27,6540.0,False,True,151,2308.8685,2020-07-01,0.0132,2,0,0,56,city,AC
Senador Guiomard,1200450.0,2020-07-02,27,23024.0,False,True,256,1111.88325,2020-07-01,0.0234,6,0,0,75,city,AC
Sena Madureira,1200500.0,2020-07-02,27,45848.0,False,True,618,1347.9323,2020-07-01,0.0049,3,0,0,60,city,AC
Tarauacá,1200609.0,2020-07-02,27,42567.0,False,True,684,1606.8785699999999,2020-07-01,0.0058,4,0,0,62,city,AC
Xapuri,1200708.0,2020-07-02,27,19323.0,False,True,236,1221.3424400000001,2020-07-01,0.0127,3,0,0,65,city,AC
,12.0,2020-07-02,27,881935.0,True,False,14048,1592.86115,2020-07-02,0.0269,378,333,8,108,state,AC
Acrelândia,1200013.0,2020-07-01,27,15256.0,True,False,194,1271.63083,2020-07-01,0.0155,3,2,0,95,city,AC
Assis Brasil,1200054.0,2020-07-01,27,7417.0,True,False,186,2507.75246,2020-07-01,0.0269,5,11,0,62,city,AC
Brasiléia,1200104.0,2020-07-01,27,26278.0,True,False,407,1548.82411,2020-07-01,0.0147,6,63,0,54,city,AC
Bujari,1200138.0,2020-07-01,27,10266.0,True,False,204,1987.14202,2020-07-01,0.0147,3,23,0,85,city,AC
Capixaba,1200179.0,2020-07-01,27,11733.0,True,False,144,1227.3075900000001,2020-07-01,0.0347,5,0,0,55,city,AC
Cruzeiro do Sul,1200203.0,2020-07-01,27,88376.0,True,False,2079,2352.44863,2020-07-01,0.0168,35,30,0,80,city,AC
Epitaciolândia,1200252.0,2020-07-01,27,18411.0,True,False,172,934.22411,2020-07-01,0.0349,6,15,0,56,city,AC
Feijó,1200302.0,2020-07-01,27,34780.0,True,False,262,753.3065,2020-07-01,0.0191,5,40,0,61,city,AC
Jordão,1200328.0,2020-07-01,27,8317.0,True,False,39,468.91908,2020-07-01,0.0,0,4,0,45,city,AC
Mâncio Lima,1200336.0,2020-07-01,27,18977.0,True,False,156,822.0477400000001,2020-07-01,0.0192,3,20,0,64,city,AC
Manoel Urbano,1200344.0,2020-07-01,27,9459.0,True,False,51,539.16905,2020-07-01,0.0196,1,2,0,50,city,AC
Marechal Thaumaturgo,1200351.0,2020-07-01,27,18867.0,True,False,162,858.6420699999999,2020-07-01,0.0062,1,13,0,51,city,AC
Plácido de Castro,1200385.0,2020-07-01,27,19761.0,True,False,295,1492.83943,2020-07-01,0.0203,6,5,0,87,city,AC
Porto Acre,1200807.0,2020-07-01,27,18504.0,True,False,272,1469.95244,2020-07-01,0.0221,6,4,0,95,city,AC
Porto Walter,1200393.0,2020-07-01,27,11982.0,True,False,51,425.63845999999995,2020-07-01,0.0,0,0,0,50,city,AC
Rio Branco,1200401.0,2020-07-01,27,407319.0,True,False,7002,1719.0457600000002,2020-07-01,0.0376,263,149,4,107,city,AC
Rodrigues Alves,1200427.0,2020-07-01,27,18930.0,True,False,94,496.5663,2020-07-01,0.0426,4,0,0,51,city,AC
Santa Rosa do Purus,1200435.0,2020-07-01,27,6540.0,True,False,151,2308.8685,2020-07-01,0.0132,2,2,0,55,city,AC
Senador Guiomard,1200450.0,2020-07-01,27,23024.0,True,False,256,1111.88325,2020-07-01,0.0234,6,6,0,74,city,AC
Sena Madureira,1200500.0,2020-07-01,27,45848.0,True,False,618,1347.9323,2020-07-01,0.0049,3,37,0,59,city,AC
Tarauacá,1200609.0,2020-07-01,27,42567.0,True,False,684,1606.8785699999999,2020-07-01,0.0058,4,30,1,61,city,AC
Xapuri,1200708.0,2020-07-01,27,19323.0,True,False,236,1221.3424400000001,2020-07-01,0.0127,3,6,0,64,city,AC
,12.0,2020-07-01,27,881935.0,False,False,13715,1555.1032699999998,2020-07-01,0.027000000000000003,370,462,5,107,state,AC
Acrelândia,1200013.0,2020-06-30,27,15256.0,False,False,192,1258.52124,2020-06-30,0.0156,3,0,0,94,city,AC
Assis Brasil,1200054.0,2020-06-30,27,7417.0,False,False,175,2359.44452,2020-06-30,0.0286,5,1,0,61,city,AC
Brasiléia,1200104.0,2020-06-30,27,26278.0,False,False,344,1309.07984,2020-06-30,0.0174,6,0,0,53,city,AC
Bujari,1200138.0,2020-06-30,27,10266.0,False,False,181,1763.1015,2020-06-30,0.0166,3,3,0,84,city,AC
Capixaba,1200179.0,2020-06-30,27,11733.0,False,False,144,1227.3075900000001,2020-06-30,0.0347,5,2,0,54,city,AC
Cruzeiro do Sul,1200203.0,2020-06-30,27,88376.0,False,False,2049,2318.5027600000003,2020-06-30,0.0171,35,8,0,79,city,AC
Epitaciolândia,1200252.0,2020-06-30,27,18411.0,False,False,157,852.7510699999999,2020-06-30,0.0382,6,0,0,55,city,AC
Feijó,1200302.0,2020-06-30,27,34780.0,False,False,222,638.29787,2020-06-30,0.0225,5,0,0,60,city,AC
Jordão,1200328.0,2020-06-30,27,8317.0,False,False,35,420.82482000000005,2020-06-30,0.0,0,0,0,44,city,AC
Mâncio Lima,1200336.0,2020-06-30,27,18977.0,False,False,136,716.65701,2020-06-30,0.0221,3,0,0,63,city,AC
Manoel Urbano,1200344.0,2020-06-30,27,9459.0,False,False,49,518.0251599999999,2020-06-30,0.0204,1,0,1,49,city,AC
Marechal Thaumaturgo,1200351.0,2020-06-30,27,18867.0,False,False,149,789.7387,2020-06-30,0.0067,1,0,0,50,city,AC
Plácido de Castro,1200385.0,2020-06-30,27,19761.0,False,False,290,1467.5370699999999,2020-06-30,0.0207,6,6,0,86,city,AC
Porto Acre,1200807.0,2020-06-30,27,18504.0,False,False,268,1448.3355,2020-06-30,0.0224,6,3,0,94,city,AC
Porto Walter,1200393.0,2020-06-30,27,11982.0,False,False,51,425.63845999999995,2020-06-30,0.0,0,0,0,49,city,AC
Rio Branco,1200401.0,2020-06-30,27,407319.0,False,False,6853,1682.46509,2020-06-30,0.0378,259,81,3,106,city,AC
Rodrigues Alves,1200427.0,2020-06-30,27,18930.0,False,False,94,496.5663,2020-06-30,0.0426,4,0,0,50,city,AC
Santa Rosa do Purus,1200435.0,2020-06-30,27,6540.0,False,False,149,2278.28746,2020-06-30,0.0134,2,0,0,54,city,AC
Senador Guiomard,1200450.0,2020-06-30,27,23024.0,False,False,250,1085.82349,2020-06-30,0.024,6,0,0,73,city,AC
Sena Madureira,1200500.0,2020-06-30,27,45848.0,False,False,581,1267.23085,2020-06-30,0.0052,3,1,0,58,city,AC
Tarauacá,1200609.0,2020-06-30,27,42567.0,False,False,654,1536.40144,2020-06-30,0.0046,3,2,0,60,city,AC
Xapuri,1200708.0,2020-06-30,27,19323.0,False,False,230,1190.29136,2020-06-30,0.013000000000000001,3,0,0,63,city,AC
,12.0,2020-06-30,27,881935.0,False,False,13253,1502.71845,2020-06-30,0.0275,365,107,4,106,state,AC
Acrelândia,1200013.0,2020-06-29,27,15256.0,False,False,192,1258.52124,2020-06-29,0.0156,3,0,0,93,city,AC
Assis Brasil,1200054.0,2020-06-29,27,7417.0,False,False,174,2345.96198,2020-06-29,0.0287,5,0,0,60,city,AC
Brasiléia,1200104.0,2020-06-29,27,26278.0,False,False,344,1309.07984,2020-06-29,0.0174,6,24,0,52,city,AC
Bujari,1200138.0,2020-06-29,27,10266.0,False,False,178,1733.87882,2020-06-29,0.0169,3,0,0,83,city,AC
Capixaba,1200179.0,2020-06-29,27,11733.0,False,False,142,1210.26166,2020-06-29,0.0352,5,0,0,53,city,AC
Cruzeiro do Sul,1200203.0,2020-06-29,27,88376.0,False,False,2041,2309.45053,2020-06-29,0.0171,35,2,1,78,city,AC
Epitaciolândia,1200252.0,2020-06-29,27,18411.0,False,False,157,852.7510699999999,2020-06-29,0.0382,6,9,0,54,city,AC
Feijó,1200302.0,2020-06-29,27,34780.0,False,False,222,638.29787,2020-06-29,0.0225,5,1,0,59,city,AC
Jordão,1200328.0,2020-06-29,27,8317.0,False,False,35,420.82482000000005,2020-06-29,0.0,0,0,0,43,city,AC
Mâncio Lima,1200336.0,2020-06-29,27,18977.0,False,False,136,716.65701,2020-06-29,0.0221,3,0,0,62,city,AC
Manoel Urbano,1200344.0,2020-06-29,27,9459.0,False,False,49,518.0251599999999,2020-06-29,0.0,0,0,0,48,city,AC
Marechal Thaumaturgo,1200351.0,2020-06-29,27,18867.0,False,False,149,789.7387,2020-06-29,0.0067,1,0,0,49,city,AC
Plácido de Castro,1200385.0,2020-06-29,27,19761.0,False,False,284,1437.17423,2020-06-29,0.0211,6,0,0,85,city,AC
Porto Acre,1200807.0,2020-06-29,27,18504.0,False,False,265,1432.1227800000001,2020-06-29,0.0226,6,9,0,93,city,AC
Porto Walter,1200393.0,2020-06-29,27,11982.0,False,False,51,425.63845999999995,2020-06-29,0.0,0,0,0,48,city,AC
