city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Alvarães,1300029.0,2020-07-02,27,16041.0,True,False,1016,6333.76972,2020-07-02,0.0128,13,21,0,60,city,AM
Amaturá,1300060.0,2020-07-02,27,11536.0,True,False,429,3718.7933399999997,2020-07-02,0.0186,8,14,0,70,city,AM
Anamã,1300086.0,2020-07-02,27,13614.0,True,False,295,2166.88703,2020-07-02,0.0,0,1,0,80,city,AM
Anori,1300102.0,2020-07-02,27,21010.0,True,False,566,2693.95526,2020-07-02,0.0177,10,0,0,96,city,AM
Apuí,1300144.0,2020-07-02,27,21973.0,True,False,51,232.10304,2020-07-02,0.0,0,9,0,56,city,AM
Atalaia do Norte,1300201.0,2020-07-02,27,19921.0,True,False,535,2685.60815,2020-07-02,0.0037,2,15,0,64,city,AM
Autazes,1300300.0,2020-07-02,27,39565.0,True,False,998,2522.43144,2020-07-02,0.0321,32,15,5,74,city,AM
Barcelos,1300409.0,2020-07-02,27,27502.0,True,False,1073,3901.5344299999997,2020-07-02,0.0214,23,11,0,72,city,AM
Barreirinha,1300508.0,2020-07-02,27,32041.0,True,False,667,2081.7078100000003,2020-07-02,0.0105,7,38,0,62,city,AM
Benjamin Constant,1300607.0,2020-07-02,27,42984.0,True,False,1462,3401.26559,2020-07-02,0.0185,27,0,0,72,city,AM
Beruri,1300631.0,2020-07-02,27,19679.0,True,False,439,2230.80441,2020-07-02,0.0137,6,5,0,73,city,AM
Boa Vista do Ramos,1300680.0,2020-07-02,27,19207.0,True,False,223,1161.03504,2020-07-02,0.009000000000000001,2,7,0,61,city,AM
Boca do Acre,1300706.0,2020-07-02,27,34308.0,True,False,646,1882.94275,2020-07-02,0.0155,10,19,0,99,city,AM
Borba,1300805.0,2020-07-02,27,41161.0,True,False,446,1083.54996,2020-07-02,0.0404,18,0,0,67,city,AM
Caapiranga,1300839.0,2020-07-02,27,13081.0,True,False,152,1161.99067,2020-07-02,0.0263,4,2,0,70,city,AM
Canutama,1300904.0,2020-07-02,27,15629.0,True,False,89,569.45422,2020-07-02,0.0,0,0,0,75,city,AM
Carauari,1301001.0,2020-07-02,27,28294.0,True,False,531,1876.72298,2020-07-02,0.0113,6,9,0,78,city,AM
Careiro,1301100.0,2020-07-02,27,37869.0,True,False,925,2442.63118,2020-07-02,0.0151,14,2,1,83,city,AM
Careiro da Várzea,1301159.0,2020-07-02,27,30225.0,True,False,81,267.99007,2020-07-02,0.0494,4,0,0,94,city,AM
Coari,1301209.0,2020-07-02,27,85097.0,True,False,4130,4853.28507,2020-07-02,0.0208,86,330,1,77,city,AM
Codajás,1301308.0,2020-07-02,27,28637.0,True,False,152,530.7818599999999,2020-07-02,0.0197,3,1,0,70,city,AM
Eirunepé,1301407.0,2020-07-02,27,35273.0,True,False,492,1394.8345800000002,2020-07-02,0.0,0,14,0,63,city,AM
Fonte Boa,1301605.0,2020-07-02,27,17609.0,True,False,585,3322.1648,2020-07-02,0.0274,16,21,0,70,city,AM
Guajará,1301654.0,2020-07-02,27,16678.0,True,False,455,2728.1448600000003,2020-07-02,0.0022,1,13,0,50,city,AM
Humaitá,1301704.0,2020-07-02,27,55080.0,True,False,805,1461.51053,2020-07-02,0.0224,18,38,0,68,city,AM
Ipixuna,1301803.0,2020-07-02,27,29689.0,True,False,4,13.472999999999999,2020-07-02,0.0,0,0,0,36,city,AM
Iranduba,1301852.0,2020-07-02,27,48296.0,True,False,1252,2592.34719,2020-07-02,0.0343,43,4,0,89,city,AM
Itacoatiara,1301902.0,2020-07-02,27,101337.0,True,False,1548,1527.5763,2020-07-02,0.0342,53,0,0,96,city,AM
Itamarati,1301951.0,2020-07-02,27,7851.0,True,False,350,4458.03082,2020-07-02,0.0057,2,8,0,51,city,AM
Itapiranga,1302009.0,2020-07-02,27,9148.0,True,False,519,5673.37123,2020-07-02,0.0116,6,5,0,68,city,AM
Japurá,1302108.0,2020-07-02,27,2755.0,True,False,272,9872.95826,2020-07-02,0.0037,1,2,0,53,city,AM
Juruá,1302207.0,2020-07-02,27,14712.0,True,False,237,1610.92985,2020-07-02,0.0084,2,0,0,75,city,AM
Jutaí,1302306.0,2020-07-02,27,14317.0,True,False,264,1843.96172,2020-07-02,0.0568,15,4,1,88,city,AM
Lábrea,1302405.0,2020-07-02,27,46069.0,True,False,570,1237.27452,2020-07-02,0.0123,7,24,0,80,city,AM
Manacapuru,1302504.0,2020-07-02,27,97377.0,True,False,3157,3242.03867,2020-07-02,0.0396,125,17,0,98,city,AM
Manaquiri,1302553.0,2020-07-02,27,32105.0,True,False,273,850.33484,2020-07-02,0.044000000000000004,12,0,0,71,city,AM
Manaus,1302603.0,2020-07-02,27,2182763.0,True,False,28128,1288.64196,2020-07-02,0.0643,1810,308,6,112,city,AM
Manicoré,1302702.0,2020-07-02,27,55751.0,True,False,225,403.5802,2020-07-02,0.0222,5,0,0,86,city,AM
Maraã,1302801.0,2020-07-02,27,18224.0,True,False,210,1152.3266,2020-07-02,0.0143,3,3,0,72,city,AM
Maués,1302900.0,2020-07-02,27,63905.0,True,False,1015,1588.29513,2020-07-02,0.0305,31,20,0,84,city,AM
Nhamundá,1303007.0,2020-07-02,27,21173.0,True,False,154,727.34143,2020-07-02,0.0325,5,1,0,71,city,AM
Nova Olinda do Norte,1303106.0,2020-07-02,27,37378.0,True,False,527,1409.9202699999998,2020-07-02,0.038,20,24,0,72,city,AM
Novo Airão,1303205.0,2020-07-02,27,19454.0,True,False,224,1151.43415,2020-07-02,0.0268,6,5,0,95,city,AM
Novo Aripuanã,1303304.0,2020-07-02,27,25644.0,True,False,418,1630.01092,2020-07-02,0.0215,9,0,0,70,city,AM
Parintins,1303403.0,2020-07-02,27,114273.0,True,False,2624,2296.2554600000003,2020-07-02,0.0301,79,16,1,103,city,AM
Pauini,1303502.0,2020-07-02,27,19426.0,True,False,488,2512.09719,2020-07-02,0.0082,4,14,0,54,city,AM
Presidente Figueiredo,1303536.0,2020-07-02,27,36279.0,True,False,1113,3067.89052,2020-07-02,0.018000000000000002,20,19,0,86,city,AM
Rio Preto da Eva,1303569.0,2020-07-02,27,33347.0,True,False,653,1958.1971399999998,2020-07-02,0.0199,13,0,0,72,city,AM
Santa Isabel do Rio Negro,1303601.0,2020-07-02,27,25156.0,True,False,409,1625.85467,2020-07-02,0.0147,6,38,0,76,city,AM
Santo Antônio do Içá,1303700.0,2020-07-02,27,21602.0,True,False,1005,4652.347,2020-07-02,0.0189,19,1,0,99,city,AM
São Gabriel da Cachoeira,1303809.0,2020-07-02,27,45564.0,True,False,2761,6059.60846,2020-07-02,0.0159,44,18,0,88,city,AM
São Paulo de Olivença,1303908.0,2020-07-02,27,39299.0,True,False,652,1659.07529,2020-07-02,0.0276,18,0,0,87,city,AM
São Sebastião do Uatumã,1303957.0,2020-07-02,27,14020.0,True,False,245,1747.5035699999999,2020-07-02,0.0041,1,7,0,69,city,AM
Silves,1304005.0,2020-07-02,27,9171.0,True,False,162,1766.43768,2020-07-02,0.0247,4,0,0,70,city,AM
Tabatinga,1304062.0,2020-07-02,27,65844.0,True,False,1453,2206.73106,2020-07-02,0.0516,75,4,1,86,city,AM
Tapauá,1304104.0,2020-07-02,27,17156.0,True,False,733,4272.55771,2020-07-02,0.0055,4,56,1,70,city,AM
Tefé,1304203.0,2020-07-02,27,59849.0,True,False,2841,4746.94648,2020-07-02,0.0278,79,27,0,84,city,AM
Tonantins,1304237.0,2020-07-02,27,18755.0,True,False,481,2564.64943,2020-07-02,0.0291,14,18,0,92,city,AM
Uarini,1304260.0,2020-07-02,27,13540.0,True,False,533,3936.48449,2020-07-02,0.015,8,4,2,49,city,AM
Urucará,1304302.0,2020-07-02,27,16256.0,True,False,368,2263.7795300000002,2020-07-02,0.0136,5,0,0,69,city,AM
Urucurituba,1304401.0,2020-07-02,27,23065.0,True,False,419,1816.60525,2020-07-02,0.0095,4,14,0,68,city,AM
,13.0,2020-07-02,27,4144597.0,True,False,73530,1774.1170000000002,2020-07-02,0.0389,2862,1246,19,112,state,AM
Alvarães,1300029.0,2020-07-01,27,16041.0,False,False,995,6202.85518,2020-07-01,0.0131,13,31,0,59,city,AM
Amaturá,1300060.0,2020-07-01,27,11536.0,False,False,415,3597.4341200000003,2020-07-01,0.0193,8,0,0,69,city,AM
Anamã,1300086.0,2020-07-01,27,13614.0,False,False,294,2159.54165,2020-07-01,0.0,0,2,0,79,city,AM
Anori,1300102.0,2020-07-01,27,21010.0,False,False,566,2693.95526,2020-07-01,0.0177,10,0,0,95,city,AM
Apuí,1300144.0,2020-07-01,27,21973.0,False,False,42,191.14368000000002,2020-07-01,0.0,0,0,0,55,city,AM
Atalaia do Norte,1300201.0,2020-07-01,27,19921.0,False,False,520,2610.31073,2020-07-01,0.0038,2,11,0,63,city,AM
Autazes,1300300.0,2020-07-01,27,39565.0,False,False,983,2484.51915,2020-07-01,0.0275,27,18,0,73,city,AM
Barcelos,1300409.0,2020-07-01,27,27502.0,False,False,1062,3861.53734,2020-07-01,0.0217,23,155,1,71,city,AM
Barreirinha,1300508.0,2020-07-01,27,32041.0,False,False,629,1963.10977,2020-07-01,0.0111,7,16,0,61,city,AM
Benjamin Constant,1300607.0,2020-07-01,27,42984.0,False,False,1462,3401.26559,2020-07-01,0.0185,27,4,0,71,city,AM
Beruri,1300631.0,2020-07-01,27,19679.0,False,False,434,2205.39662,2020-07-01,0.0138,6,3,0,72,city,AM
Boa Vista do Ramos,1300680.0,2020-07-01,27,19207.0,False,False,216,1124.58999,2020-07-01,0.0093,2,2,0,60,city,AM
Boca do Acre,1300706.0,2020-07-01,27,34308.0,False,False,627,1827.5620800000002,2020-07-01,0.0159,10,0,0,98,city,AM
Borba,1300805.0,2020-07-01,27,41161.0,False,False,446,1083.54996,2020-07-01,0.0404,18,0,0,66,city,AM
Caapiranga,1300839.0,2020-07-01,27,13081.0,False,False,150,1146.70132,2020-07-01,0.0267,4,2,0,69,city,AM
Canutama,1300904.0,2020-07-01,27,15629.0,False,False,89,569.45422,2020-07-01,0.0,0,0,0,74,city,AM
Carauari,1301001.0,2020-07-01,27,28294.0,False,False,522,1844.91412,2020-07-01,0.0115,6,9,0,77,city,AM
Careiro,1301100.0,2020-07-01,27,37869.0,False,False,923,2437.34981,2020-07-01,0.0141,13,1,0,82,city,AM
Careiro da Várzea,1301159.0,2020-07-01,27,30225.0,False,False,81,267.99007,2020-07-01,0.0494,4,3,0,93,city,AM
Coari,1301209.0,2020-07-01,27,85097.0,False,False,3800,4465.49232,2020-07-01,0.0224,85,33,1,76,city,AM
Codajás,1301308.0,2020-07-01,27,28637.0,False,False,151,527.2898700000001,2020-07-01,0.0199,3,4,0,69,city,AM
Eirunepé,1301407.0,2020-07-01,27,35273.0,False,False,478,1355.14416,2020-07-01,0.0,0,12,0,62,city,AM
Fonte Boa,1301605.0,2020-07-01,27,17609.0,False,False,564,3202.9076,2020-07-01,0.0284,16,0,0,69,city,AM
