city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Amapá,1600105.0,2020-07-02,27,9109.0,False,True,341,3743.5503299999996,2020-07-01,0.0117,4,0,0,68,city,AP
Calçoene,1600204.0,2020-07-02,27,11117.0,False,True,518,4659.53045,2020-07-01,0.0039,2,0,0,63,city,AP
Cutias,1600212.0,2020-07-02,27,5983.0,False,True,490,8189.8713,2020-07-01,0.0041,2,0,0,59,city,AP
Ferreira Gomes,1600238.0,2020-07-02,27,7780.0,False,True,295,3791.7737799999995,2020-07-01,0.0068,2,0,0,62,city,AP
Itaubal,1600253.0,2020-07-02,27,5503.0,False,True,163,2962.02072,2020-07-01,0.0,0,0,0,70,city,AP
Laranjal do Jari,1600279.0,2020-07-02,27,50410.0,False,True,2920,5792.50149,2020-07-01,0.0137,40,0,0,79,city,AP
Macapá,1600303.0,2020-07-02,27,503327.0,False,True,13045,2591.75447,2020-07-01,0.0198,258,0,0,105,city,AP
Mazagão,1600402.0,2020-07-02,27,21632.0,False,True,918,4243.71302,2020-07-01,0.0065,6,0,0,80,city,AP
Oiapoque,1600501.0,2020-07-02,27,27270.0,False,True,1542,5654.56546,2020-07-01,0.0071,11,0,0,90,city,AP
Pedra Branca do Amapari,1600154.0,2020-07-02,27,16502.0,False,True,2007,12162.16216,2020-07-01,0.0025,5,0,0,71,city,AP
Porto Grande,1600535.0,2020-07-02,27,21971.0,False,True,760,3459.1051799999996,2020-07-01,0.0079,6,0,0,80,city,AP
Pracuúba,1600550.0,2020-07-02,27,5120.0,False,True,165,3222.65625,2020-07-01,0.0121,2,0,0,59,city,AP
Santana,1600600.0,2020-07-02,27,121364.0,False,True,4054,3340.36452,2020-07-01,0.016,65,0,0,89,city,AP
Serra do Navio,1600055.0,2020-07-02,27,5397.0,False,True,397,7355.93848,2020-07-01,0.0101,4,0,0,72,city,AP
Tartarugalzinho,1600709.0,2020-07-02,27,17315.0,False,True,372,2148.42622,2020-07-01,0.0054,2,0,0,68,city,AP
