city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Abaíra,2900108.0,2020-07-02,27,8739.0,False,True,5,57.214780000000005,2020-07-01,0.0,0,0,0,81,city,BA
Abaré,2900207.0,2020-07-02,27,20086.0,False,True,2,9.957180000000001,2020-07-01,0.0,0,0,0,49,city,BA
Acajutiba,2900306.0,2020-07-02,27,15159.0,False,True,23,151.72505,2020-07-01,0.0435,1,0,0,72,city,BA
Adustina,2900355.0,2020-07-02,27,17040.0,False,True,27,158.4507,2020-07-01,0.037000000000000005,1,0,0,90,city,BA
Água Fria,2900405.0,2020-07-02,27,16970.0,False,True,31,182.67531,2020-07-01,0.0323,1,0,0,73,city,BA
Aiquara,2900603.0,2020-07-02,27,4446.0,False,True,10,224.92127999999997,2020-07-01,0.1,1,0,0,78,city,BA
Alagoinhas,2900702.0,2020-07-02,27,151596.0,False,True,477,314.6521,2020-07-01,0.0189,9,0,0,99,city,BA
Alcobaça,2900801.0,2020-07-02,27,22470.0,False,True,62,275.92345,2020-07-01,0.0161,1,0,0,34,city,BA
Almadina,2900900.0,2020-07-02,27,5464.0,False,True,19,347.7306,2020-07-01,0.0526,1,0,0,71,city,BA
Amargosa,2901007.0,2020-07-02,27,37241.0,False,True,43,115.46413999999999,2020-07-01,0.0233,1,0,0,54,city,BA
Amélia Rodrigues,2901106.0,2020-07-02,27,25102.0,False,True,92,366.50466,2020-07-01,0.0,0,0,0,78,city,BA
América Dourada,2901155.0,2020-07-02,27,16094.0,False,True,20,124.26991000000001,2020-07-01,0.0,0,0,0,45,city,BA
Anagé,2901205.0,2020-07-02,27,22005.0,False,True,10,45.44422,2020-07-01,0.1,1,0,0,50,city,BA
Andaraí,2901304.0,2020-07-02,27,13143.0,False,True,8,60.8689,2020-07-01,0.0,0,0,0,31,city,BA
Andorinha,2901353.0,2020-07-02,27,14595.0,False,True,5,34.258309999999994,2020-07-01,0.0,0,0,0,20,city,BA
Angical,2901403.0,2020-07-02,27,13977.0,False,True,1,7.154610000000001,2020-07-01,0.0,0,0,0,24,city,BA
Anguera,2901502.0,2020-07-02,27,11221.0,False,True,28,249.53213,2020-07-01,0.0,0,0,0,54,city,BA
Antas,2901601.0,2020-07-02,27,19291.0,False,True,5,25.91882,2020-07-01,0.0,0,0,0,33,city,BA
Antônio Cardoso,2901700.0,2020-07-02,27,11683.0,False,True,11,94.1539,2020-07-01,0.0,0,0,0,39,city,BA
Antônio Gonçalves,2901809.0,2020-07-02,27,11798.0,False,True,14,118.66418,2020-07-01,0.0,0,0,0,20,city,BA
Aporá,2901908.0,2020-07-02,27,17731.0,False,True,37,208.67407,2020-07-01,0.0541,2,0,0,43,city,BA
Apuarema,2901957.0,2020-07-02,27,7330.0,False,True,63,859.4815800000001,2020-07-01,0.0,0,0,0,43,city,BA
Araças,2902054.0,2020-07-02,27,12177.0,False,True,6,49.27322,2020-07-01,0.0,0,0,0,50,city,BA
Aracatu,2902005.0,2020-07-02,27,13135.0,False,True,15,114.19871,2020-07-01,0.0,0,0,0,66,city,BA
Araci,2902104.0,2020-07-02,27,54379.0,False,True,224,411.92372,2020-07-01,0.0045,1,0,0,86,city,BA
Aramari,2902203.0,2020-07-02,27,11397.0,False,True,7,61.419669999999996,2020-07-01,0.0,0,0,0,31,city,BA
Arataca,2902252.0,2020-07-02,27,11019.0,False,True,2,18.150470000000002,2020-07-01,0.0,0,0,0,65,city,BA
Aratuípe,2902302.0,2020-07-02,27,8825.0,False,True,1,11.331439999999999,2020-07-01,1.0,1,0,0,36,city,BA
Aurelino Leal,2902401.0,2020-07-02,27,11531.0,False,True,91,789.177,2020-07-01,0.011000000000000001,1,0,0,86,city,BA
Baianópolis,2902500.0,2020-07-02,27,13877.0,False,True,3,21.61851,2020-07-01,0.0,0,0,0,38,city,BA
Baixa Grande,2902609.0,2020-07-02,27,20468.0,False,True,2,9.77135,2020-07-01,0.0,0,0,0,14,city,BA
Banzaê,2902658.0,2020-07-02,27,13229.0,False,True,23,173.86046000000002,2020-07-01,0.0,0,0,0,49,city,BA
Barra,2902708.0,2020-07-02,27,53578.0,False,True,24,44.794509999999995,2020-07-01,0.0,0,0,0,94,city,BA
Barra da Estiva,2902807.0,2020-07-02,27,20598.0,False,True,2,9.70968,2020-07-01,0.0,0,0,0,26,city,BA
Barra do Choça,2902906.0,2020-07-02,27,31603.0,False,True,34,107.58471999999999,2020-07-01,0.0294,1,0,0,88,city,BA
Barra do Mendes,2903003.0,2020-07-02,27,13865.0,False,True,2,14.42481,2020-07-01,0.0,0,0,0,42,city,BA
Barra do Rocha,2903102.0,2020-07-02,27,5714.0,False,True,6,105.00525,2020-07-01,0.0,0,0,0,93,city,BA
Barreiras,2903201.0,2020-07-02,27,155439.0,False,True,362,232.88879,2020-07-01,0.0138,5,0,0,103,city,BA
Barrocas,2903276.0,2020-07-02,27,15978.0,False,True,36,225.3098,2020-07-01,0.0,0,0,0,54,city,BA
Barro Preto,2903300.0,2020-07-02,27,5591.0,False,True,32,572.34842,2020-07-01,0.0,0,0,0,75,city,BA
Belmonte,2903409.0,2020-07-02,27,23328.0,False,True,85,364.369,2020-07-01,0.0118,1,0,0,92,city,BA
Belo Campo,2903508.0,2020-07-02,27,17211.0,False,True,0,,2020-07-01,0.0,0,0,0,19,city,BA
