city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Abaiara,2300101.0,2020-07-02,27,11737.0,False,True,20,170.4013,2020-07-01,0.05,1,0,0,67,city,CE
Acarape,2300150.0,2020-07-02,27,14929.0,False,True,509,3409.4715,2020-07-01,0.0236,12,0,0,76,city,CE
Acaraú,2300200.0,2020-07-02,27,62641.0,False,True,1707,2725.05228,2020-07-01,0.0252,43,0,0,77,city,CE
Acopiara,2300309.0,2020-07-02,27,54270.0,False,True,270,497.51244,2020-07-01,0.063,17,0,0,81,city,CE
Aiuaba,2300408.0,2020-07-02,27,17399.0,False,True,10,57.47456999999999,2020-07-01,0.1,1,0,0,60,city,CE
Alcântaras,2300507.0,2020-07-02,27,11714.0,False,True,269,2296.39747,2020-07-01,0.0074,2,0,0,75,city,CE
Altaneira,2300606.0,2020-07-02,27,7586.0,False,True,2,26.364359999999998,2020-07-01,0.0,0,0,0,34,city,CE
Alto Santo,2300705.0,2020-07-02,27,17146.0,False,True,84,489.91017999999997,2020-07-01,0.0476,4,0,0,71,city,CE
Amontada,2300754.0,2020-07-02,27,43452.0,False,True,614,1413.05348,2020-07-01,0.0228,14,0,0,88,city,CE
Antonina do Norte,2300804.0,2020-07-02,27,7353.0,False,True,11,149.5988,2020-07-01,0.0,0,0,0,64,city,CE
Apuiarés,2300903.0,2020-07-02,27,14600.0,False,True,121,828.76712,2020-07-01,0.0744,9,0,0,72,city,CE
Aquiraz,2301000.0,2020-07-02,27,80271.0,False,True,671,835.91833,2020-07-01,0.0358,24,0,0,109,city,CE
Aracati,2301109.0,2020-07-02,27,74547.0,False,True,785,1053.02695,2020-07-01,0.0471,37,0,0,89,city,CE
Aracoiaba,2301208.0,2020-07-02,27,26469.0,False,True,437,1650.98795,2020-07-01,0.0206,9,0,0,79,city,CE
Ararendá,2301257.0,2020-07-02,27,10935.0,False,True,12,109.73937,2020-07-01,0.0833,1,0,0,72,city,CE
Araripe,2301307.0,2020-07-02,27,21600.0,False,True,80,370.37037000000004,2020-07-01,0.0,0,0,0,75,city,CE
Aratuba,2301406.0,2020-07-02,27,11847.0,False,True,108,911.6232,2020-07-01,0.0093,1,0,0,60,city,CE
Arneiroz,2301505.0,2020-07-02,27,7840.0,False,True,29,369.89796,2020-07-01,0.0345,1,0,0,73,city,CE
Assaré,2301604.0,2020-07-02,27,23417.0,False,True,118,503.90742,2020-07-01,0.0169,2,0,0,60,city,CE
Aurora,2301703.0,2020-07-02,27,24654.0,False,True,38,154.1332,2020-07-01,0.0789,3,0,0,61,city,CE
Baixio,2301802.0,2020-07-02,27,6288.0,False,True,12,190.83969,2020-07-01,0.0,0,0,0,44,city,CE
Banabuiú,2301851.0,2020-07-02,27,18197.0,False,True,229,1258.44919,2020-07-01,0.0044,1,0,0,75,city,CE
Barbalha,2301901.0,2020-07-02,27,60781.0,False,True,360,592.29035,2020-07-01,0.0167,6,0,0,73,city,CE
Barreira,2301950.0,2020-07-02,27,22425.0,False,True,237,1056.85619,2020-07-01,0.0675,16,0,0,80,city,CE
Barro,2302008.0,2020-07-02,27,22680.0,False,True,33,145.50265,2020-07-01,0.1818,6,0,0,57,city,CE
Barroquinha,2302057.0,2020-07-02,27,15017.0,False,True,494,3289.60511,2020-07-01,0.0202,10,0,0,83,city,CE
Baturité,2302107.0,2020-07-02,27,35750.0,False,True,446,1247.55245,2020-07-01,0.0516,23,0,0,79,city,CE
Beberibe,2302206.0,2020-07-02,27,53573.0,False,True,391,729.8452599999999,2020-07-01,0.0563,22,0,0,95,city,CE
Bela Cruz,2302305.0,2020-07-02,27,32591.0,False,True,944,2896.50517,2020-07-01,0.0148,14,0,0,77,city,CE
Boa Viagem,2302404.0,2020-07-02,27,54470.0,False,True,145,266.20158,2020-07-01,0.0828,12,0,0,70,city,CE
Brejo Santo,2302503.0,2020-07-02,27,49477.0,False,True,199,402.20709,2020-07-01,0.0251,5,0,0,70,city,CE
Camocim,2302602.0,2020-07-02,27,63661.0,False,True,1699,2668.82393,2020-07-01,0.0353,60,0,0,79,city,CE
Campos Sales,2302701.0,2020-07-02,27,27426.0,False,True,147,535.98775,2020-07-01,0.0136,2,0,0,70,city,CE
Canindé,2302800.0,2020-07-02,27,76997.0,False,True,1374,1784.48511,2020-07-01,0.0277,38,0,0,91,city,CE
Capistrano,2302909.0,2020-07-02,27,17738.0,False,True,371,2091.55485,2020-07-01,0.0189,7,0,0,80,city,CE
Caridade,2303006.0,2020-07-02,27,22547.0,False,True,200,887.0359699999999,2020-07-01,0.06,12,0,0,79,city,CE
Cariré,2303105.0,2020-07-02,27,18448.0,False,True,365,1978.5342600000001,2020-07-01,0.0219,8,0,0,70,city,CE
Caririaçu,2303204.0,2020-07-02,27,26965.0,False,True,139,515.48303,2020-07-01,0.0216,3,0,0,68,city,CE
Cariús,2303303.0,2020-07-02,27,18699.0,False,True,134,716.61586,2020-07-01,0.0149,2,0,0,89,city,CE
Carnaubal,2303402.0,2020-07-02,27,17606.0,False,True,150,851.9822800000001,2020-07-01,0.02,3,0,0,71,city,CE
Cascavel,2303501.0,2020-07-02,27,71743.0,False,True,1031,1437.0739999999998,2020-07-01,0.0708,73,0,0,87,city,CE
Catarina,2303600.0,2020-07-02,27,20698.0,False,True,52,251.232,2020-07-01,0.0192,1,0,0,88,city,CE
Catunda,2303659.0,2020-07-02,27,10342.0,False,True,104,1005.6082,2020-07-01,0.0192,2,0,0,57,city,CE
Caucaia,2303709.0,2020-07-02,27,361400.0,False,True,3711,1026.84007,2020-07-01,0.0765,284,0,0,97,city,CE
Cedro,2303808.0,2020-07-02,27,25557.0,False,True,61,238.68216,2020-07-01,0.08199999999999999,5,0,0,60,city,CE
Chaval,2303907.0,2020-07-02,27,13069.0,False,True,438,3351.44234,2020-07-01,0.016,7,0,0,60,city,CE
