city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Brasília,5300108.0,2020-07-02,27,3015268.0,True,False,46559,1544.1081900000001,2020-07-02,0.0124,578,1448,11,118,city,DF
Importados/Indefinidos,,2020-07-02,27,,True,False,5722,,2020-07-02,0.0093,53,157,0,99,city,DF
,53.0,2020-07-02,27,3015268.0,True,False,52281,1733.87573,2020-07-02,0.0121,631,1605,11,118,state,DF
Brasília,5300108.0,2020-07-01,27,3015268.0,False,False,45111,1496.08592,2020-07-01,0.0126,567,1311,28,117,city,DF
Importados/Indefinidos,,2020-07-01,27,,False,False,5565,,2020-07-01,0.0095,53,147,5,98,city,DF
,53.0,2020-07-01,27,3015268.0,False,False,50676,1680.6466300000002,2020-07-01,0.0122,620,1458,33,117,state,DF
Brasília,5300108.0,2020-06-30,27,3015268.0,False,False,43800,1452.6072,2020-06-30,0.0123,539,1951,27,116,city,DF
Importados/Indefinidos,,2020-06-30,27,,False,False,5418,,2020-06-30,0.0089,48,196,1,97,city,DF
,53.0,2020-06-30,27,3015268.0,False,False,49218,1632.29272,2020-06-30,0.0119,587,2147,28,116,state,DF
Brasília,5300108.0,2020-06-29,27,3015268.0,False,False,41849,1387.90316,2020-06-29,0.0122,512,2136,10,115,city,DF
Importados/Indefinidos,,2020-06-29,27,,False,False,5222,,2020-06-29,0.009000000000000001,47,30,1,96,city,DF
,53.0,2020-06-29,27,3015268.0,False,False,47071,1561.08843,2020-06-29,0.0119,559,2166,11,115,state,DF
Brasília,5300108.0,2020-04-09,15,3015268.0,False,False,486,16.11797,2020-04-09,0.0267,13,14,1,34,city,DF
Importados/Indefinidos,,2020-04-09,15,,False,False,41,,2020-04-09,0.0,0,4,0,15,city,DF
,53.0,2020-04-09,15,3015268.0,False,False,527,17.47772,2020-04-09,0.0247,13,18,1,34,state,DF
Brasília,5300108.0,2020-04-08,15,3015268.0,False,False,472,15.653670000000002,2020-04-08,0.0254,12,6,0,33,city,DF
Importados/Indefinidos,,2020-04-08,15,,False,False,37,,2020-04-08,0.0,0,0,0,14,city,DF
,53.0,2020-04-08,15,3015268.0,False,False,509,16.88075,2020-04-08,0.0236,12,6,0,33,state,DF
Brasília,5300108.0,2020-04-07,15,3015268.0,False,False,466,15.454679999999998,2020-04-07,0.0258,12,24,2,32,city,DF
Importados/Indefinidos,,2020-04-07,15,,False,False,37,,2020-04-07,0.0,0,-6,0,13,city,DF
,53.0,2020-04-07,15,3015268.0,False,False,503,16.68177,2020-04-07,0.0239,12,18,2,32,state,DF
