city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Afonso Cláudio,3200102.0,2020-07-02,27,30586.0,False,True,324,1059.30818,2020-06-30,0.0247,8,0,0,93,city,ES
Água Doce do Norte,3200169.0,2020-07-02,27,11019.0,False,True,41,372.08457999999996,2020-06-30,0.0732,3,0,0,66,city,ES
Águia Branca,3200136.0,2020-07-02,27,9642.0,False,True,60,622.27754,2020-06-30,0.0333,2,0,0,66,city,ES
Alegre,3200201.0,2020-07-02,27,30084.0,False,True,112,372.29092,2020-06-30,0.0536,6,0,0,73,city,ES
Alfredo Chaves,3200300.0,2020-07-02,27,14601.0,False,True,145,993.0826699999999,2020-06-30,0.0207,3,0,0,82,city,ES
Alto Rio Novo,3200359.0,2020-07-02,27,7836.0,False,True,28,357.32517,2020-06-30,0.1429,4,0,0,94,city,ES
Anchieta,3200409.0,2020-07-02,27,29263.0,False,True,319,1090.1138,2020-06-30,0.0251,8,0,0,78,city,ES
Apiacá,3200508.0,2020-07-02,27,7567.0,False,True,37,488.96524000000005,2020-06-30,0.027000000000000003,1,0,0,75,city,ES
Aracruz,3200607.0,2020-07-02,27,101220.0,False,True,884,873.34519,2020-06-30,0.0339,30,0,0,93,city,ES
Atilio Vivacqua,3200706.0,2020-07-02,27,11936.0,False,True,80,670.24129,2020-06-30,0.025,2,0,0,66,city,ES
Baixo Guandu,3200805.0,2020-07-02,27,30998.0,False,True,199,641.9769,2020-06-30,0.0402,8,0,0,66,city,ES
Barra de São Francisco,3200904.0,2020-07-02,27,44650.0,False,True,200,447.92832999999996,2020-06-30,0.03,6,0,0,66,city,ES
Boa Esperança,3201001.0,2020-07-02,27,15037.0,False,True,140,931.03678,2020-06-30,0.0286,4,0,0,87,city,ES
Bom Jesus do Norte,3201100.0,2020-07-02,27,9936.0,False,True,60,603.86473,2020-06-30,0.0167,1,0,0,79,city,ES
Brejetuba,3201159.0,2020-07-02,27,12404.0,False,True,111,894.8726199999999,2020-06-30,0.0,0,0,0,78,city,ES
Cachoeiro de Itapemirim,3201209.0,2020-07-02,27,208972.0,False,True,1669,798.67159,2020-06-30,0.0365,61,0,0,105,city,ES
Cariacica,3201308.0,2020-07-02,27,381285.0,False,True,5128,1344.92571,2020-06-30,0.047,241,0,0,105,city,ES
Castelo,3201407.0,2020-07-02,27,37534.0,False,True,293,780.62557,2020-06-30,0.0171,5,0,0,99,city,ES
Colatina,3201506.0,2020-07-02,27,122499.0,False,True,1601,1306.94944,2020-06-30,0.0212,34,0,0,91,city,ES
Conceição da Barra,3201605.0,2020-07-02,27,31063.0,False,True,56,180.27879,2020-06-30,0.0714,4,0,0,66,city,ES
Conceição do Castelo,3201704.0,2020-07-02,27,12723.0,False,True,60,471.58689000000004,2020-06-30,0.0333,2,0,0,66,city,ES
Divino de São Lourenço,3201803.0,2020-07-02,27,4304.0,False,True,80,1858.7360600000002,2020-06-30,0.0,0,0,0,66,city,ES
Domingos Martins,3201902.0,2020-07-02,27,33850.0,False,True,288,850.81241,2020-06-30,0.0139,4,0,0,73,city,ES
Dores do Rio Preto,3202009.0,2020-07-02,27,6749.0,False,True,25,370.42525,2020-06-30,0.0,0,0,0,66,city,ES
Ecoporanga,3202108.0,2020-07-02,27,22923.0,False,True,126,549.66627,2020-06-30,0.0397,5,0,0,66,city,ES
Fundão,3202207.0,2020-07-02,27,21509.0,False,True,274,1273.88535,2020-06-30,0.0328,9,0,0,92,city,ES
Governador Lindenberg,3202256.0,2020-07-02,27,12709.0,False,True,39,306.86915,2020-06-30,0.0,0,0,0,66,city,ES
Guaçuí,3202306.0,2020-07-02,27,30867.0,False,True,143,463.27792999999997,2020-06-30,0.049,7,0,0,73,city,ES
Guarapari,3202405.0,2020-07-02,27,124859.0,False,True,958,767.26548,2020-06-30,0.0407,39,0,0,97,city,ES
Ibatiba,3202454.0,2020-07-02,27,26082.0,False,True,107,410.24461,2020-06-30,0.0374,4,0,0,66,city,ES
Ibiraçu,3202504.0,2020-07-02,27,12479.0,False,True,143,1145.92515,2020-06-30,0.042,6,0,0,88,city,ES
Ibitirama,3202553.0,2020-07-02,27,8889.0,False,True,37,416.2448,2020-06-30,0.0811,3,0,0,66,city,ES
Iconha,3202603.0,2020-07-02,27,13860.0,False,True,159,1147.18615,2020-06-30,0.0,0,0,0,68,city,ES
Importados/Indefinidos,,2020-07-02,27,,False,True,481,,2020-06-30,0.0104,5,0,0,101,city,ES
Irupi,3202652.0,2020-07-02,27,13377.0,False,True,50,373.77588,2020-06-30,0.0,0,0,0,73,city,ES
Itaguaçu,3202702.0,2020-07-02,27,14066.0,False,True,27,191.95223000000001,2020-06-30,0.0,0,0,0,66,city,ES
Itapemirim,3202801.0,2020-07-02,27,34348.0,False,True,502,1461.51159,2020-06-30,0.0578,29,0,0,97,city,ES
Itarana,3202900.0,2020-07-02,27,10555.0,False,True,41,388.4415,2020-06-30,0.0244,1,0,0,66,city,ES
Iúna,3203007.0,2020-07-02,27,29161.0,False,True,232,795.5831400000001,2020-06-30,0.0388,9,0,0,66,city,ES
Jaguaré,3203056.0,2020-07-02,27,30477.0,False,True,103,337.95977,2020-06-30,0.0388,4,0,0,66,city,ES
Jerônimo Monteiro,3203106.0,2020-07-02,27,12192.0,False,True,95,779.19948,2020-06-30,0.0316,3,0,0,80,city,ES
João Neiva,3203130.0,2020-07-02,27,16668.0,False,True,166,995.92033,2020-06-30,0.0301,5,0,0,78,city,ES
Laranja da Terra,3203163.0,2020-07-02,27,10947.0,False,True,48,438.47629000000006,2020-06-30,0.0,0,0,0,66,city,ES
Linhares,3203205.0,2020-07-02,27,173555.0,False,True,1948,1122.41076,2020-06-30,0.0185,36,0,0,106,city,ES
Mantenópolis,3203304.0,2020-07-02,27,15350.0,False,True,46,299.67427000000004,2020-06-30,0.0435,2,0,0,66,city,ES
Marataízes,3203320.0,2020-07-02,27,38499.0,False,True,673,1748.09735,2020-06-30,0.0475,32,0,0,68,city,ES
Marechal Floriano,3203346.0,2020-07-02,27,16694.0,False,True,394,2360.12939,2020-06-30,0.0355,14,0,0,70,city,ES
Marilândia,3203353.0,2020-07-02,27,12833.0,False,True,122,950.67404,2020-06-30,0.0246,3,0,0,66,city,ES
Mimoso do Sul,3203403.0,2020-07-02,27,26153.0,False,True,245,936.7950099999999,2020-06-30,0.0082,2,0,0,66,city,ES
Montanha,3203502.0,2020-07-02,27,18833.0,False,True,34,180.53417,2020-06-30,0.0294,1,0,0,66,city,ES
Mucurici,3203601.0,2020-07-02,27,5524.0,False,True,9,162.92542,2020-06-30,0.1111,1,0,0,66,city,ES
Muniz Freire,3203700.0,2020-07-02,27,17465.0,False,True,84,480.96192,2020-06-30,0.0357,3,0,0,66,city,ES
Muqui,3203809.0,2020-07-02,27,15449.0,False,True,106,686.12855,2020-06-30,0.0566,6,0,0,66,city,ES
Nova Venécia,3203908.0,2020-07-02,27,50110.0,False,True,343,684.49411,2020-06-30,0.0321,11,0,0,87,city,ES
Pancas,3204005.0,2020-07-02,27,23184.0,False,True,179,772.0842,2020-06-30,0.0168,3,0,0,66,city,ES
Pedro Canário,3204054.0,2020-07-02,27,26184.0,False,True,160,611.06019,2020-06-30,0.025,4,0,0,78,city,ES
Pinheiros,3204104.0,2020-07-02,27,27047.0,False,True,134,495.43387,2020-06-30,0.0448,6,0,0,66,city,ES
Piúma,3204203.0,2020-07-02,27,21711.0,False,True,238,1096.21851,2020-06-30,0.0252,6,0,0,75,city,ES
Ponto Belo,3204252.0,2020-07-02,27,7863.0,False,True,15,190.76688000000001,2020-06-30,0.0667,1,0,0,66,city,ES
Presidente Kennedy,3204302.0,2020-07-02,27,11574.0,False,True,283,2445.13565,2020-06-30,0.0212,6,0,0,78,city,ES
Rio Bananal,3204351.0,2020-07-02,27,19141.0,False,True,91,475.41925999999995,2020-06-30,0.022000000000000002,2,0,0,66,city,ES
Rio Novo do Sul,3204401.0,2020-07-02,27,11622.0,False,True,182,1565.9955300000001,2020-06-30,0.0275,5,0,0,78,city,ES
Santa Leopoldina,3204500.0,2020-07-02,27,12224.0,False,True,90,736.2565400000001,2020-06-30,0.0333,3,0,0,82,city,ES
Santa Maria de Jetibá,3204559.0,2020-07-02,27,40431.0,False,True,196,484.77653,2020-06-30,0.0357,7,0,0,80,city,ES
