city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Abadia de Goiás,5200050.0,2020-07-02,27,8773.0,True,False,41,467.34297999999995,2020-07-02,0.0,0,0,0,43,city,GO
Abadiânia,5200100.0,2020-07-02,27,20042.0,True,False,46,229.51801,2020-07-02,0.0217,1,0,0,35,city,GO
Acreúna,5200134.0,2020-07-02,27,22366.0,True,False,17,76.00823000000001,2020-07-02,0.0588,1,0,0,32,city,GO
Adelândia,5200159.0,2020-07-02,27,2516.0,True,False,24,953.8950699999999,2020-07-02,0.0,0,0,0,28,city,GO
Água Fria de Goiás,5200175.0,2020-07-02,27,5735.0,True,False,4,69.74717,2020-07-02,0.0,0,0,0,29,city,GO
Águas Lindas de Goiás,5200258.0,2020-07-02,27,212440.0,True,False,773,363.86744,2020-07-02,0.0375,29,4,1,97,city,GO
Alexânia,5200308.0,2020-07-02,27,27653.0,True,False,64,231.43963,2020-07-02,0.0469,3,0,0,57,city,GO
Aloândia,5200506.0,2020-07-02,27,1995.0,True,False,1,50.12531,2020-07-02,0.0,0,0,0,83,city,GO
Alto Horizonte,5200555.0,2020-07-02,27,6414.0,True,False,2,31.181790000000003,2020-07-02,0.0,0,0,0,4,city,GO
Alto Paraíso de Goiás,5200605.0,2020-07-02,27,7624.0,True,False,7,91.81532,2020-07-02,0.0,0,0,0,56,city,GO
Alvorada do Norte,5200803.0,2020-07-02,27,8660.0,True,False,2,23.09469,2020-07-02,0.0,0,0,0,16,city,GO
Amaralina,5200829.0,2020-07-02,27,3812.0,True,False,3,78.69885,2020-07-02,0.0,0,0,0,42,city,GO
Americano do Brasil,5200852.0,2020-07-02,27,6111.0,True,False,36,589.10162,2020-07-02,0.0278,1,0,0,15,city,GO
Amorinópolis,5200902.0,2020-07-02,27,3126.0,True,False,2,63.979530000000004,2020-07-02,0.0,0,0,0,42,city,GO
Anápolis,5201108.0,2020-07-02,27,386923.0,True,False,966,249.66207999999997,2020-07-02,0.0145,14,8,8,109,city,GO
Anhanguera,5201207.0,2020-07-02,27,1149.0,True,False,1,87.0322,2020-07-02,0.0,0,0,0,85,city,GO
Anicuns,5201306.0,2020-07-02,27,21850.0,True,False,104,475.97254000000004,2020-07-02,0.0,0,8,0,57,city,GO
Aparecida de Goiânia,5201405.0,2020-07-02,27,578179.0,True,False,2907,502.78547000000003,2020-07-02,0.0206,60,5,5,107,city,GO
Aparecida do Rio Doce,5201454.0,2020-07-02,27,2474.0,True,False,23,929.66855,2020-07-02,0.0435,1,0,0,48,city,GO
Aporé,5201504.0,2020-07-02,27,4198.0,True,False,0,,2020-07-02,0.0,0,0,0,50,city,GO
Araçu,5201603.0,2020-07-02,27,3522.0,True,False,5,141.96479,2020-07-02,0.0,0,0,0,44,city,GO
Aragarças,5201702.0,2020-07-02,27,20118.0,True,False,43,213.73893999999999,2020-07-02,0.0465,2,0,0,53,city,GO
Aragoiânia,5201801.0,2020-07-02,27,10308.0,True,False,18,174.62165,2020-07-02,0.0556,1,1,0,79,city,GO
Araguapaz,5202155.0,2020-07-02,27,7770.0,True,False,2,25.740029999999997,2020-07-02,0.5,1,0,0,42,city,GO
Aruanã,5202502.0,2020-07-02,27,9875.0,True,False,5,50.632909999999995,2020-07-02,0.0,0,0,0,11,city,GO
Aurilândia,5202601.0,2020-07-02,27,3120.0,True,False,15,480.76923,2020-07-02,0.0,0,0,0,42,city,GO
Avelinópolis,5202809.0,2020-07-02,27,2417.0,True,False,1,41.3736,2020-07-02,0.0,0,0,0,68,city,GO
Barro Alto,5203203.0,2020-07-02,27,11167.0,True,False,28,250.73878,2020-07-02,0.0,0,0,0,71,city,GO
Bela Vista de Goiás,5203302.0,2020-07-02,27,29975.0,True,False,112,373.6447,2020-07-02,0.0179,2,0,0,86,city,GO
Bom Jardim de Goiás,5203401.0,2020-07-02,27,8841.0,True,False,6,67.86563000000001,2020-07-02,0.0,0,0,0,51,city,GO
Bom Jesus de Goiás,5203500.0,2020-07-02,27,25216.0,True,False,39,154.66371,2020-07-02,0.0,0,0,0,91,city,GO
