city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Açailândia,2100055.0,2020-07-02,27,112445.0,True,False,2537,2256.21415,2020-07-02,0.0201,51,23,0,93,city,MA
Afonso Cunha,2100105.0,2020-07-02,27,6524.0,True,False,77,1180.25751,2020-07-02,0.013000000000000001,1,0,0,45,city,MA
Água Doce do Maranhão,2100154.0,2020-07-02,27,12571.0,True,False,276,2195.5293899999997,2020-07-02,0.0181,5,9,0,57,city,MA
Alcântara,2100204.0,2020-07-02,27,22097.0,True,False,30,135.76504,2020-07-02,0.1667,5,0,0,76,city,MA
Aldeias Altas,2100303.0,2020-07-02,27,26532.0,True,False,68,256.29429,2020-07-02,0.0,0,4,0,63,city,MA
Altamira do Maranhão,2100402.0,2020-07-02,27,8128.0,True,False,112,1377.95276,2020-07-02,0.0446,5,3,0,82,city,MA
Alto Alegre do Maranhão,2100436.0,2020-07-02,27,27053.0,True,False,311,1149.59524,2020-07-02,0.0257,8,0,0,66,city,MA
Alto Alegre do Pindaré,2100477.0,2020-07-02,27,31919.0,True,False,511,1600.92735,2020-07-02,0.0039,2,0,0,70,city,MA
Alto Parnaíba,2100501.0,2020-07-02,27,11190.0,True,False,68,607.68543,2020-07-02,0.0147,1,0,1,50,city,MA
Amapá do Maranhão,2100550.0,2020-07-02,27,6962.0,True,False,3,43.09107,2020-07-02,0.0,0,0,0,59,city,MA
Amarante do Maranhão,2100600.0,2020-07-02,27,41435.0,True,False,467,1127.06649,2020-07-02,0.0236,11,12,0,66,city,MA
Anajatuba,2100709.0,2020-07-02,27,26803.0,True,False,217,809.61086,2020-07-02,0.0276,6,21,0,75,city,MA
Anapurus,2100808.0,2020-07-02,27,15732.0,True,False,516,3279.93898,2020-07-02,0.0078,4,1,0,61,city,MA
Apicum-Açu,2100832.0,2020-07-02,27,17239.0,True,False,196,1136.9569,2020-07-02,0.0102,2,0,0,63,city,MA
Araguanã,2100873.0,2020-07-02,27,15426.0,True,False,401,2599.50733,2020-07-02,0.005,2,0,0,65,city,MA
Araioses,2100907.0,2020-07-02,27,46440.0,True,False,397,854.86649,2020-07-02,0.0126,5,13,0,56,city,MA
Arame,2100956.0,2020-07-02,27,32701.0,True,False,151,461.75957999999997,2020-07-02,0.0265,4,0,0,57,city,MA
Arari,2101004.0,2020-07-02,27,29848.0,True,False,151,505.89654,2020-07-02,0.0265,4,1,0,76,city,MA
Axixá,2101103.0,2020-07-02,27,12130.0,True,False,60,494.64137999999997,2020-07-02,0.0333,2,0,0,64,city,MA
Bacabal,2101202.0,2020-07-02,27,104949.0,True,False,1828,1741.7984,2020-07-02,0.0098,18,69,1,78,city,MA
Bacabeira,2101251.0,2020-07-02,27,17055.0,True,False,123,721.1961299999999,2020-07-02,0.0081,1,0,0,78,city,MA
Bacuri,2101301.0,2020-07-02,27,18582.0,True,False,344,1851.2539,2020-07-02,0.0058,2,0,0,52,city,MA
Bacurituba,2101350.0,2020-07-02,27,5644.0,True,False,18,318.92275,2020-07-02,0.0,0,0,0,50,city,MA
Balsas,2101400.0,2020-07-02,27,94887.0,True,False,1011,1065.4778800000001,2020-07-02,0.0089,9,337,7,74,city,MA
Barão de Grajaú,2101509.0,2020-07-02,27,18820.0,True,False,13,69.07545,2020-07-02,0.0,0,0,0,56,city,MA
Barra do Corda,2101608.0,2020-07-02,27,88212.0,True,False,1481,1678.9099,2020-07-02,0.0101,15,91,0,60,city,MA
Barreirinhas,2101707.0,2020-07-02,27,62528.0,True,False,319,510.17144,2020-07-02,0.0533,17,19,0,77,city,MA
Belágua,2101731.0,2020-07-02,27,7469.0,True,False,158,2115.4103600000003,2020-07-02,0.0063,1,0,0,56,city,MA
Bela Vista do Maranhão,2101772.0,2020-07-02,27,11209.0,True,False,104,927.82585,2020-07-02,0.0192,2,3,1,64,city,MA
