city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Abadia dos Dourados,3100104.0,2020-07-02,27,6989.0,True,False,5,71.54099000000001,2020-07-02,0.0,0,0,0,56,city,MG
Abaeté,3100203.0,2020-07-02,27,23237.0,True,False,14,60.248740000000005,2020-07-02,0.0,0,0,0,82,city,MG
Abre Campo,3100302.0,2020-07-02,27,13454.0,True,False,7,52.029140000000005,2020-07-02,0.0,0,0,0,25,city,MG
Acaiaca,3100401.0,2020-07-02,27,3994.0,True,False,11,275.41312,2020-07-02,0.0909,1,0,0,15,city,MG
Açucena,3100500.0,2020-07-02,27,9470.0,True,False,15,158.39493000000002,2020-07-02,0.0667,1,0,0,45,city,MG
Água Comprida,3100708.0,2020-07-02,27,1999.0,True,False,2,100.05003,2020-07-02,0.0,0,0,0,34,city,MG
Aguanil,3100807.0,2020-07-02,27,4486.0,True,False,5,111.45787,2020-07-02,0.0,0,0,0,15,city,MG
Águas Formosas,3100906.0,2020-07-02,27,19207.0,True,False,12,62.477219999999996,2020-07-02,0.0,0,1,0,29,city,MG
Águas Vermelhas,3101003.0,2020-07-02,27,13539.0,True,False,22,162.49354,2020-07-02,0.0,0,1,0,44,city,MG
Aimorés,3101102.0,2020-07-02,27,25167.0,True,False,91,361.58461,2020-07-02,0.0,0,6,0,60,city,MG
Além Paraíba,3101508.0,2020-07-02,27,35362.0,True,False,162,458.11888,2020-07-02,0.0123,2,6,0,70,city,MG
Alfenas,3101607.0,2020-07-02,27,79996.0,True,False,55,68.75344,2020-07-02,0.0,0,6,0,94,city,MG
Alfredo Vasconcelos,3101631.0,2020-07-02,27,6907.0,True,False,5,72.39033,2020-07-02,0.2,1,1,0,54,city,MG
Almenara,3101706.0,2020-07-02,27,41896.0,True,False,173,412.92725,2020-07-02,0.0058,1,127,0,79,city,MG
Alpercata,3101805.0,2020-07-02,27,7424.0,True,False,73,983.29741,2020-07-02,0.0,0,12,0,86,city,MG
Alpinópolis,3101904.0,2020-07-02,27,19853.0,True,False,3,15.111070000000002,2020-07-02,0.0,0,1,0,57,city,MG
Alterosa,3102001.0,2020-07-02,27,14466.0,True,False,2,13.825520000000001,2020-07-02,0.0,0,0,0,65,city,MG
Alto Caparaó,3102050.0,2020-07-02,27,5847.0,True,False,4,68.41115,2020-07-02,0.0,0,0,0,33,city,MG
Alto Jequitibá,3153509.0,2020-07-02,27,8317.0,True,False,20,240.47132000000002,2020-07-02,0.05,1,2,0,61,city,MG
Alto Rio Doce,3102100.0,2020-07-02,27,11000.0,True,False,54,490.90909000000005,2020-07-02,0.0185,1,0,0,57,city,MG
Alvarenga,3102209.0,2020-07-02,27,3907.0,True,False,99,2533.91349,2020-07-02,0.0,0,0,0,46,city,MG
Alvinópolis,3102308.0,2020-07-02,27,15203.0,True,False,9,59.198840000000004,2020-07-02,0.0,0,0,0,28,city,MG
Alvorada de Minas,3102407.0,2020-07-02,27,3606.0,True,False,15,415.97337999999996,2020-07-02,0.0667,1,5,0,22,city,MG
Amparo do Serra,3102506.0,2020-07-02,27,4713.0,True,False,2,42.43582,2020-07-02,0.0,0,0,0,31,city,MG
Andradas,3102605.0,2020-07-02,27,41077.0,True,False,21,51.1235,2020-07-02,0.0476,1,-1,0,50,city,MG
Andrelândia,3102803.0,2020-07-02,27,12224.0,True,False,17,139.07068,2020-07-02,0.0,0,0,0,50,city,MG
Antônio Carlos,3102902.0,2020-07-02,27,11445.0,True,False,13,113.58672,2020-07-02,0.0,0,1,0,30,city,MG
Antônio Dias,3103009.0,2020-07-02,27,9318.0,True,False,30,321.9575,2020-07-02,0.0,0,1,0,30,city,MG
Araçaí,3103207.0,2020-07-02,27,2347.0,True,False,1,42.60758,2020-07-02,0.0,0,0,0,6,city,MG
Araçuaí,3103405.0,2020-07-02,27,36708.0,True,False,9,24.51782,2020-07-02,0.0,0,1,0,49,city,MG
Araguari,3103504.0,2020-07-02,27,117267.0,True,False,522,445.13802000000004,2020-07-02,0.0096,5,53,0,93,city,MG
Arantina,3103603.0,2020-07-02,27,2795.0,True,False,4,143.1127,2020-07-02,0.25,1,0,0,43,city,MG
Araporã,3103751.0,2020-07-02,27,6869.0,True,False,43,626.00087,2020-07-02,0.0233,1,0,0,38,city,MG
Arapuá,3103801.0,2020-07-02,27,2834.0,True,False,17,599.8588599999999,2020-07-02,0.0,0,0,0,29,city,MG
Araújos,3103900.0,2020-07-02,27,9273.0,True,False,3,32.35199,2020-07-02,0.0,0,2,0,6,city,MG
Araxá,3104007.0,2020-07-02,27,106229.0,True,False,261,245.69562000000002,2020-07-02,0.023,6,4,0,80,city,MG
Arceburgo,3104106.0,2020-07-02,27,10772.0,True,False,7,64.98329,2020-07-02,0.0,0,0,0,75,city,MG
Arcos,3104205.0,2020-07-02,27,40092.0,True,False,53,132.19595,2020-07-02,0.0189,1,3,0,92,city,MG
Argirita,3104403.0,2020-07-02,27,2727.0,True,False,1,36.67033,2020-07-02,0.0,0,0,0,8,city,MG
Arinos,3104502.0,2020-07-02,27,17875.0,True,False,24,134.26573,2020-07-02,0.0,0,10,0,21,city,MG
Astolfo Dutra,3104601.0,2020-07-02,27,14179.0,True,False,22,155.15904,2020-07-02,0.0455,1,0,0,56,city,MG
Ataléia,3104700.0,2020-07-02,27,12868.0,True,False,24,186.50916999999998,2020-07-02,0.0417,1,0,0,16,city,MG
Augusto de Lima,3104809.0,2020-07-02,27,4869.0,True,False,7,143.76668999999998,2020-07-02,0.0,0,0,0,9,city,MG
Baependi,3104908.0,2020-07-02,27,19148.0,True,False,4,20.88991,2020-07-02,0.0,0,0,0,35,city,MG
Baldim,3105004.0,2020-07-02,27,7826.0,True,False,1,12.77792,2020-07-02,0.0,0,-3,0,6,city,MG
Bambuí,3105103.0,2020-07-02,27,23829.0,True,False,0,,2020-07-02,0.0,0,0,0,26,city,MG
Bandeira,3105202.0,2020-07-02,27,4795.0,True,False,53,1105.31804,2020-07-02,0.0189,1,0,0,13,city,MG
Barão de Cocais,3105400.0,2020-07-02,27,32485.0,True,False,149,458.67323,2020-07-02,0.0,0,13,0,35,city,MG
Barão de Monte Alto,3105509.0,2020-07-02,27,5397.0,True,False,11,203.81694,2020-07-02,0.0,0,1,0,23,city,MG
Barbacena,3105608.0,2020-07-02,27,137313.0,True,False,372,270.9139,2020-07-02,0.0134,5,10,0,92,city,MG
Barra Longa,3105707.0,2020-07-02,27,5131.0,True,False,54,1052.42643,2020-07-02,0.0,0,0,0,30,city,MG
Barroso,3105905.0,2020-07-02,27,20810.0,True,False,13,62.469969999999996,2020-07-02,0.0,0,0,0,47,city,MG
Bela Vista de Minas,3106002.0,2020-07-02,27,10255.0,True,False,9,87.76207,2020-07-02,0.1111,1,1,0,57,city,MG
Belmiro Braga,3106101.0,2020-07-02,27,3429.0,True,False,6,174.97813,2020-07-02,0.1667,1,-1,0,79,city,MG
Belo Horizonte,3106200.0,2020-07-02,27,2512070.0,True,False,6570,261.5373,2020-07-02,0.0239,157,655,13,109,city,MG
Belo Oriente,3106309.0,2020-07-02,27,26700.0,True,False,104,389.51311,2020-07-02,0.0385,4,4,0,70,city,MG
Belo Vale,3106408.0,2020-07-02,27,7715.0,True,False,12,155.54115,2020-07-02,0.0833,1,0,0,70,city,MG
Berilo,3106507.0,2020-07-02,27,11932.0,True,False,4,33.5233,2020-07-02,0.0,0,0,0,11,city,MG
Betim,3106705.0,2020-07-02,27,439340.0,True,False,886,201.66613999999998,2020-07-02,0.0384,34,50,2,102,city,MG
Bias Fortes,3106804.0,2020-07-02,27,3379.0,True,False,2,59.18911,2020-07-02,0.0,0,0,0,6,city,MG
Bicas,3106903.0,2020-07-02,27,14494.0,True,False,18,124.18932,2020-07-02,0.0,0,2,0,69,city,MG
Biquinhas,3107000.0,2020-07-02,27,2515.0,True,False,2,79.52286,2020-07-02,0.0,0,0,0,36,city,MG
Boa Esperança,3107109.0,2020-07-02,27,40127.0,True,False,56,139.55691000000002,2020-07-02,0.0893,5,0,0,99,city,MG
Bocaina de Minas,3107208.0,2020-07-02,27,5090.0,True,False,2,39.29273,2020-07-02,0.0,0,0,0,40,city,MG
Bocaiúva,3107307.0,2020-07-02,27,49979.0,True,False,69,138.05798000000001,2020-07-02,0.0145,1,10,0,50,city,MG
Bom Despacho,3107406.0,2020-07-02,27,50605.0,True,False,72,142.27843000000001,2020-07-02,0.0139,1,5,0,102,city,MG
Bom Jardim de Minas,3107505.0,2020-07-02,27,6474.0,True,False,2,30.8928,2020-07-02,0.0,0,-1,0,13,city,MG
Bom Jesus do Amparo,3107703.0,2020-07-02,27,6083.0,True,False,6,98.63554,2020-07-02,0.0,0,0,0,27,city,MG
Bom Jesus do Galho,3107802.0,2020-07-02,27,14935.0,True,False,6,40.17409,2020-07-02,0.5,3,0,1,34,city,MG
Bom Repouso,3107901.0,2020-07-02,27,10547.0,True,False,9,85.33232,2020-07-02,0.0,0,0,0,65,city,MG
Bom Sucesso,3108008.0,2020-07-02,27,17603.0,True,False,6,34.0851,2020-07-02,0.0,0,0,0,13,city,MG
Bonfim,3108107.0,2020-07-02,27,6868.0,True,False,8,116.48223999999999,2020-07-02,0.125,1,0,0,82,city,MG
Bonfinópolis de Minas,3108206.0,2020-07-02,27,5493.0,True,False,1,18.20499,2020-07-02,0.0,0,0,0,42,city,MG
Bonito de Minas,3108255.0,2020-07-02,27,11230.0,True,False,3,26.714159999999996,2020-07-02,0.0,0,0,0,6,city,MG
