city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Água Clara,5000203.0,2020-07-02,27,15522.0,False,True,6,38.65481,2020-07-01,0.0,0,0,0,38,city,MS
Alcinópolis,5000252.0,2020-07-02,27,5343.0,False,True,1,18.716079999999998,2020-07-01,0.0,0,0,0,94,city,MS
Amambai,5000609.0,2020-07-02,27,39396.0,False,True,22,55.843230000000005,2020-07-01,0.0909,2,0,0,54,city,MS
Anastácio,5000708.0,2020-07-02,27,25135.0,False,True,3,11.93555,2020-07-01,0.3333,1,0,0,38,city,MS
Angélica,5000856.0,2020-07-02,27,10780.0,False,True,9,83.48794000000001,2020-07-01,0.0,0,0,0,24,city,MS
Aparecida do Taboado,5001003.0,2020-07-02,27,25745.0,False,True,19,73.80074,2020-07-01,0.0,0,0,0,30,city,MS
Aquidauana,5001102.0,2020-07-02,27,47871.0,False,True,5,10.44474,2020-07-01,0.0,0,0,0,34,city,MS
Aral Moreira,5001243.0,2020-07-02,27,12149.0,False,True,9,74.08017,2020-07-01,0.0,0,0,0,8,city,MS
Bandeirantes,5001508.0,2020-07-02,27,6788.0,False,True,3,44.195640000000004,2020-07-01,0.0,0,0,0,15,city,MS
Bataguassu,5001904.0,2020-07-02,27,23024.0,False,True,44,191.10493,2020-07-01,0.0,0,0,0,74,city,MS
Batayporã,5002001.0,2020-07-02,27,11329.0,False,True,35,308.94165,2020-07-01,0.0571,2,0,0,98,city,MS
Bela Vista,5002100.0,2020-07-02,27,24629.0,False,True,2,8.120510000000001,2020-07-01,0.0,0,0,0,56,city,MS
Bodoquena,5002159.0,2020-07-02,27,7875.0,False,True,1,12.69841,2020-07-01,0.0,0,0,0,45,city,MS
Bonito,5002209.0,2020-07-02,27,21976.0,False,True,87,395.88642000000004,2020-07-01,0.0,0,0,0,56,city,MS
Brasilândia,5002308.0,2020-07-02,27,11872.0,False,True,26,219.0027,2020-07-01,0.0769,2,0,0,59,city,MS
Caarapó,5002407.0,2020-07-02,27,30174.0,False,True,30,99.42334,2020-07-01,0.0,0,0,0,41,city,MS
Camapuã,5002605.0,2020-07-02,27,13711.0,False,True,5,36.46707,2020-07-01,0.0,0,0,0,49,city,MS
Campo Grande,5002704.0,2020-07-02,27,895982.0,False,True,2612,291.52371,2020-07-01,0.005,13,0,0,111,city,MS
Caracol,5002803.0,2020-07-02,27,6116.0,False,True,15,245.25834,2020-07-01,0.0,0,0,0,24,city,MS
