city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Acorizal,5100102.0,2020-07-02,27,5399.0,False,True,39,722.35599,2020-07-01,0.0256,1,0,0,54,city,MT
Água Boa,5100201.0,2020-07-02,27,25721.0,False,True,80,311.0299,2020-07-01,0.025,2,0,0,55,city,MT
Alta Floresta,5100250.0,2020-07-02,27,51782.0,False,True,158,305.12532999999996,2020-07-01,0.0316,5,0,0,90,city,MT
Alto Araguaia,5100300.0,2020-07-02,27,19044.0,False,True,46,241.54588999999999,2020-07-01,0.0652,3,0,0,48,city,MT
Alto Boa Vista,5100359.0,2020-07-02,27,6822.0,False,True,29,425.09528,2020-07-01,0.069,2,0,0,45,city,MT
Alto Garças,5100409.0,2020-07-02,27,12030.0,False,True,44,365.75229,2020-07-01,0.0,0,0,0,47,city,MT
Alto Paraguai,5100508.0,2020-07-02,27,11356.0,False,True,17,149.7006,2020-07-01,0.0,0,0,0,50,city,MT
Alto Taquari,5100607.0,2020-07-02,27,10847.0,False,True,5,46.095690000000005,2020-07-01,0.2,1,0,0,13,city,MT
Apiacás,5100805.0,2020-07-02,27,10133.0,False,True,3,29.606240000000003,2020-07-01,0.0,0,0,0,16,city,MT
Araguaiana,5101001.0,2020-07-02,27,3100.0,False,True,5,161.29032,2020-07-01,0.0,0,0,0,7,city,MT
Araputanga,5101258.0,2020-07-02,27,16822.0,False,True,28,166.4487,2020-07-01,0.0357,1,0,0,33,city,MT
Arenápolis,5101308.0,2020-07-02,27,9607.0,False,True,34,353.90861,2020-07-01,0.0294,1,0,0,35,city,MT
Aripuanã,5101407.0,2020-07-02,27,22354.0,False,True,63,281.82876,2020-07-01,0.0317,2,0,0,88,city,MT
Barão de Melgaço,5101605.0,2020-07-02,27,8564.0,False,True,7,81.73751,2020-07-01,0.0,0,0,0,17,city,MT
Barra do Bugres,5101704.0,2020-07-02,27,34966.0,False,True,39,111.53692,2020-07-01,0.0256,1,0,0,34,city,MT
Barra do Garças,5101803.0,2020-07-02,27,61012.0,False,True,239,391.72622,2020-07-01,0.1004,24,0,0,76,city,MT
Bom Jesus do Araguaia,5101852.0,2020-07-02,27,6580.0,False,True,27,410.33435,2020-07-01,0.0,0,0,0,44,city,MT
Brasnorte,5101902.0,2020-07-02,27,19695.0,False,True,5,25.38715,2020-07-01,0.0,0,0,0,23,city,MT
Cáceres,5102504.0,2020-07-02,27,94376.0,False,True,296,313.63906000000003,2020-07-01,0.0507,15,0,0,88,city,MT
Campinápolis,5102603.0,2020-07-02,27,15980.0,False,True,20,125.15645,2020-07-01,0.2,4,0,0,25,city,MT
Campo Novo do Parecis,5102637.0,2020-07-02,27,35360.0,False,True,217,613.68778,2020-07-01,0.0092,2,0,0,90,city,MT
Campos de Júlio,5102686.0,2020-07-02,27,6891.0,False,True,109,1581.77333,2020-07-01,0.0183,2,0,0,45,city,MT
Campo Verde,5102678.0,2020-07-02,27,44041.0,False,True,357,810.6083,2020-07-01,0.0056,2,0,0,50,city,MT
Canabrava do Norte,5102694.0,2020-07-02,27,4743.0,False,True,23,484.92515,2020-07-01,0.0,0,0,0,30,city,MT
Canarana,5102702.0,2020-07-02,27,21579.0,False,True,71,329.02359,2020-07-01,0.0282,2,0,0,88,city,MT
Castanheira,5102850.0,2020-07-02,27,8729.0,False,True,3,34.3682,2020-07-01,0.0,0,0,0,14,city,MT
Chapada dos Guimarães,5103007.0,2020-07-02,27,19752.0,False,True,73,369.58283,2020-07-01,0.0548,4,0,0,87,city,MT
Cláudia,5103056.0,2020-07-02,27,12149.0,False,True,58,477.40555,2020-07-01,0.0172,1,0,0,23,city,MT
Cocalinho,5103106.0,2020-07-02,27,5700.0,False,True,8,140.35088000000002,2020-07-01,0.0,0,0,0,9,city,MT
Colíder,5103205.0,2020-07-02,27,33438.0,False,True,217,648.96226,2020-07-01,0.0092,2,0,0,43,city,MT
Colniza,5103254.0,2020-07-02,27,38582.0,False,True,2,5.1837599999999995,2020-07-01,0.0,0,0,0,34,city,MT
Comodoro,5103304.0,2020-07-02,27,20763.0,False,True,47,226.36421,2020-07-01,0.0213,1,0,0,35,city,MT
Confresa,5103353.0,2020-07-02,27,30933.0,False,True,319,1031.26111,2020-07-01,0.0251,8,0,0,71,city,MT
Conquista D'Oeste,5103361.0,2020-07-02,27,4038.0,False,True,11,272.41209,2020-07-01,0.0,0,0,0,79,city,MT
Cotriguaçu,5103379.0,2020-07-02,27,19750.0,False,True,9,45.56962,2020-07-01,0.2222,2,0,0,56,city,MT
Cuiabá,5103403.0,2020-07-02,27,612547.0,False,True,4190,684.02914,2020-07-01,0.0463,194,0,0,105,city,MT
Curvelândia,5103437.0,2020-07-02,27,5219.0,False,True,21,402.37593,2020-07-01,0.0476,1,0,0,63,city,MT
Denise,5103452.0,2020-07-02,27,9462.0,False,True,12,126.82308,2020-07-01,0.0,0,0,0,37,city,MT
Diamantino,5103502.0,2020-07-02,27,22041.0,False,True,61,276.75695,2020-07-01,0.0164,1,0,0,28,city,MT
Dom Aquino,5103601.0,2020-07-02,27,8178.0,False,True,28,342.38199999999995,2020-07-01,0.0357,1,0,0,43,city,MT
Feliz Natal,5103700.0,2020-07-02,27,14192.0,False,True,71,500.28185,2020-07-01,0.0141,1,0,0,25,city,MT
Figueirópolis D'Oeste,5103809.0,2020-07-02,27,3494.0,False,True,9,257.58443,2020-07-01,0.1111,1,0,0,21,city,MT
Gaúcha do Norte,5103858.0,2020-07-02,27,7648.0,False,True,37,483.78660999999994,2020-07-01,0.0,0,0,0,23,city,MT
General Carneiro,5103908.0,2020-07-02,27,5540.0,False,True,46,830.3249099999999,2020-07-01,0.0652,3,0,0,20,city,MT
Guarantã do Norte,5104104.0,2020-07-02,27,35816.0,False,True,143,399.2629,2020-07-01,0.006999999999999999,1,0,0,47,city,MT
Guiratinga,5104203.0,2020-07-02,27,15141.0,False,True,14,92.46417,2020-07-01,0.0,0,0,0,37,city,MT
Importados/Indefinidos,,2020-07-02,27,,False,True,111,,2020-07-01,0.0991,11,0,0,88,city,MT
Indiavaí,5104500.0,2020-07-02,27,2752.0,False,True,3,109.01163000000001,2020-07-01,0.0,0,0,0,14,city,MT
Ipiranga do Norte,5104526.0,2020-07-02,27,7667.0,False,True,27,352.1586,2020-07-01,0.0,0,0,0,76,city,MT
Itanhangá,5104542.0,2020-07-02,27,6737.0,False,True,6,89.06041,2020-07-01,0.0,0,0,0,35,city,MT
Itaúba,5104559.0,2020-07-02,27,3802.0,False,True,11,289.32141,2020-07-01,0.0,0,0,0,24,city,MT
Itiquira,5104609.0,2020-07-02,27,13345.0,False,True,17,127.38853999999999,2020-07-01,0.0,0,0,0,29,city,MT
Jaciara,5104807.0,2020-07-02,27,27776.0,False,True,161,579.6371,2020-07-01,0.0248,4,0,0,72,city,MT
