city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Abaetetuba,1500107.0,2020-07-02,27,157698.0,True,False,2328,1476.23939,2020-07-02,0.043,100,5,1,94,city,PA
Abel Figueiredo,1500131.0,2020-07-02,27,7434.0,True,False,83,1116.49179,2020-07-02,0.0,0,5,-1,57,city,PA
Acará,1500206.0,2020-07-02,27,55591.0,True,False,465,836.46633,2020-07-02,0.0194,9,8,0,83,city,PA
Afuá,1500305.0,2020-07-02,27,39218.0,True,False,725,1848.64093,2020-07-02,0.0069,5,10,0,77,city,PA
Água Azul do Norte,1500347.0,2020-07-02,27,27430.0,True,False,92,335.3992,2020-07-02,0.0,0,13,0,64,city,PA
Alenquer,1500404.0,2020-07-02,27,56789.0,True,False,490,862.84316,2020-07-02,0.0367,18,0,0,71,city,PA
Almeirim,1500503.0,2020-07-02,27,34109.0,True,False,142,416.31241,2020-07-02,0.1056,15,5,0,69,city,PA
Altamira,1500602.0,2020-07-02,27,114594.0,True,False,1798,1569.0175800000002,2020-07-02,0.0317,57,88,0,91,city,PA
Anajás,1500701.0,2020-07-02,27,29277.0,True,False,314,1072.51426,2020-07-02,0.0318,10,1,0,71,city,PA
Ananindeua,1500800.0,2020-07-02,27,530598.0,True,False,4435,835.8493599999999,2020-07-02,0.0753,334,60,2,100,city,PA
Anapu,1500859.0,2020-07-02,27,27890.0,True,False,507,1817.8558600000001,2020-07-02,0.0118,6,14,0,70,city,PA
Augusto Corrêa,1500909.0,2020-07-02,27,45998.0,True,False,691,1502.2392300000001,2020-07-02,0.0217,15,11,0,74,city,PA
Aurora do Pará,1500958.0,2020-07-02,27,31338.0,True,False,298,950.9222,2020-07-02,0.0201,6,0,0,70,city,PA
Aveiro,1501006.0,2020-07-02,27,16388.0,True,False,142,866.48767,2020-07-02,0.0282,4,10,1,38,city,PA
Bagre,1501105.0,2020-07-02,27,30673.0,True,False,184,599.8761099999999,2020-07-02,0.038,7,0,0,68,city,PA
Baião,1501204.0,2020-07-02,27,47446.0,True,False,226,476.33099000000004,2020-07-02,0.0442,10,4,0,65,city,PA
Bannach,1501253.0,2020-07-02,27,3286.0,True,False,41,1247.71759,2020-07-02,0.0732,3,0,0,64,city,PA
Barcarena,1501303.0,2020-07-02,27,124680.0,True,False,1716,1376.32339,2020-07-02,0.0583,100,40,0,93,city,PA
Belém,1501402.0,2020-07-02,27,1492745.0,True,False,19967,1337.60287,2020-07-02,0.0967,1931,346,11,107,city,PA
Belterra,1501451.0,2020-07-02,27,17732.0,True,False,86,484.99887,2020-07-02,0.0814,7,4,2,62,city,PA
Benevides,1501501.0,2020-07-02,27,62737.0,True,False,1295,2064.17266,2020-07-02,0.0386,50,3,0,91,city,PA
