city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Água Branca,2500106.0,2020-07-02,27,10234.0,False,True,26,254.05511,2020-06-29,0.0769,2,0,0,43,city,PB
Aguiar,2500205.0,2020-07-02,27,5640.0,False,True,16,283.68793999999997,2020-06-29,0.0,0,0,0,45,city,PB
Alagoa Grande,2500304.0,2020-07-02,27,28496.0,False,True,382,1340.53902,2020-06-29,0.0157,6,0,0,70,city,PB
Alagoa Nova,2500403.0,2020-07-02,27,20849.0,False,True,158,757.83011,2020-06-29,0.019,3,0,0,72,city,PB
Alagoinha,2500502.0,2020-07-02,27,14489.0,False,True,399,2753.81324,2020-06-29,0.0025,1,0,0,60,city,PB
Alcantil,2500536.0,2020-07-02,27,5492.0,False,True,20,364.16606,2020-06-29,0.0,0,0,0,37,city,PB
Algodão de Jandaíra,2500577.0,2020-07-02,27,2567.0,False,True,3,116.86793999999999,2020-06-29,0.0,0,0,0,15,city,PB
Alhandra,2500601.0,2020-07-02,27,19588.0,False,True,310,1582.60159,2020-06-29,0.0258,8,0,0,65,city,PB
Amparo,2500734.0,2020-07-02,27,2238.0,False,True,12,536.19303,2020-06-29,0.0,0,0,0,49,city,PB
Aparecida,2500775.0,2020-07-02,27,8347.0,False,True,24,287.52845,2020-06-29,0.0,0,0,0,44,city,PB
Araçagi,2500809.0,2020-07-02,27,16987.0,False,True,242,1424.6188300000001,2020-06-29,0.0083,2,0,0,66,city,PB
Arara,2500908.0,2020-07-02,27,13470.0,False,True,79,586.4884900000001,2020-06-29,0.0,0,0,0,49,city,PB
Araruna,2501005.0,2020-07-02,27,20312.0,False,True,69,339.70067,2020-06-29,0.0435,3,0,0,42,city,PB
Areia,2501104.0,2020-07-02,27,22819.0,False,True,150,657.34695,2020-06-29,0.0067,1,0,0,69,city,PB
Areia de Baraúnas,2501153.0,2020-07-02,27,2128.0,False,True,1,46.99248,2020-06-29,0.0,0,0,0,38,city,PB
