city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Abreu e Lima,2600054.0,2020-07-02,27,99990.0,False,True,481,481.0481,2020-07-01,0.1143,55,0,0,85,city,PE
Afogados da Ingazeira,2600104.0,2020-07-02,27,37259.0,False,True,78,209.34538999999998,2020-07-01,0.0513,4,0,0,65,city,PE
Afrânio,2600203.0,2020-07-02,27,19635.0,False,True,65,331.04151,2020-07-01,0.0154,1,0,0,65,city,PE
Agrestina,2600302.0,2020-07-02,27,24885.0,False,True,180,723.32731,2020-07-01,0.0722,13,0,0,70,city,PE
Água Preta,2600401.0,2020-07-02,27,36771.0,False,True,683,1857.4420100000002,2020-07-01,0.0381,26,0,0,68,city,PE
Águas Belas,2600500.0,2020-07-02,27,43443.0,False,True,359,826.3701900000001,2020-07-01,0.0446,16,0,0,62,city,PE
Alagoinha,2600609.0,2020-07-02,27,14636.0,False,True,56,382.6182,2020-07-01,0.0179,1,0,0,75,city,PE
Aliança,2600708.0,2020-07-02,27,38386.0,False,True,181,471.52608,2020-07-01,0.0939,17,0,0,93,city,PE
Altinho,2600807.0,2020-07-02,27,22972.0,False,True,150,652.96883,2020-07-01,0.02,3,0,0,75,city,PE
Amaraji,2600906.0,2020-07-02,27,22829.0,False,True,100,438.03934000000004,2020-07-01,0.15,15,0,0,78,city,PE
Angelim,2601003.0,2020-07-02,27,11150.0,False,True,14,125.56053999999999,2020-07-01,0.0,0,0,0,37,city,PE
Araçoiaba,2601052.0,2020-07-02,27,20524.0,False,True,62,302.08536000000004,2020-07-01,0.129,8,0,0,81,city,PE
Araripina,2601102.0,2020-07-02,27,84418.0,False,True,213,252.31586000000001,2020-07-01,0.0235,5,0,0,61,city,PE
Arcoverde,2601201.0,2020-07-02,27,74338.0,False,True,295,396.83607,2020-07-01,0.0746,22,0,0,86,city,PE
Barra de Guabiraba,2601300.0,2020-07-02,27,14385.0,False,True,86,597.84498,2020-07-01,0.0698,6,0,0,53,city,PE
Barreiros,2601409.0,2020-07-02,27,42659.0,False,True,220,515.71767,2020-07-01,0.0955,21,0,0,63,city,PE
Belém de Maria,2601508.0,2020-07-02,27,12073.0,False,True,29,240.20542000000003,2020-07-01,0.0,0,0,0,57,city,PE
Belém do São Francisco,2601607.0,2020-07-02,27,20729.0,False,True,11,53.06575,2020-07-01,0.0,0,0,0,49,city,PE
Belo Jardim,2601706.0,2020-07-02,27,76439.0,False,True,122,159.60439,2020-07-01,0.0574,7,0,0,108,city,PE
Betânia,2601805.0,2020-07-02,27,12719.0,False,True,16,125.79605,2020-07-01,0.0625,1,0,0,69,city,PE
Bezerros,2601904.0,2020-07-02,27,60798.0,False,True,228,375.01234,2020-07-01,0.0526,12,0,0,81,city,PE
Bodocó,2602001.0,2020-07-02,27,38146.0,False,True,29,76.0237,2020-07-01,0.069,2,0,0,53,city,PE
Bom Conselho,2602100.0,2020-07-02,27,48554.0,False,True,150,308.93438,2020-07-01,0.0333,5,0,0,84,city,PE
Bom Jardim,2602209.0,2020-07-02,27,39184.0,False,True,107,273.07063999999997,2020-07-01,0.1121,12,0,0,87,city,PE
Bonito,2602308.0,2020-07-02,27,38134.0,False,True,106,277.96717,2020-07-01,0.1132,12,0,0,76,city,PE
Brejão,2602407.0,2020-07-02,27,8993.0,False,True,1,11.119760000000001,2020-07-01,0.0,0,0,0,34,city,PE
Brejinho,2602506.0,2020-07-02,27,7487.0,False,True,29,387.33805,2020-07-01,0.0,0,0,0,38,city,PE
Brejo da Madre de Deus,2602605.0,2020-07-02,27,50742.0,False,True,306,603.0507299999999,2020-07-01,0.0261,8,0,0,62,city,PE
Buenos Aires,2602704.0,2020-07-02,27,13155.0,False,True,31,235.65184,2020-07-01,0.0968,3,0,0,61,city,PE
Buíque,2602803.0,2020-07-02,27,58378.0,False,True,53,90.78763000000001,2020-07-01,0.0189,1,0,0,61,city,PE
Cabo de Santo Agostinho,2602902.0,2020-07-02,27,207048.0,False,True,923,445.79035,2020-07-01,0.1744,161,0,0,91,city,PE
Cabrobó,2603009.0,2020-07-02,27,34221.0,False,True,57,166.56439,2020-07-01,0.0175,1,0,0,69,city,PE
Cachoeirinha,2603108.0,2020-07-02,27,20380.0,False,True,115,564.2787,2020-07-01,0.0696,8,0,0,88,city,PE
Caetés,2603207.0,2020-07-02,27,28739.0,False,True,76,264.44901,2020-07-01,0.0395,3,0,0,75,city,PE
Calçado,2603306.0,2020-07-02,27,11053.0,False,True,20,180.94635,2020-07-01,0.05,1,0,0,48,city,PE
Calumbi,2603405.0,2020-07-02,27,5750.0,False,True,25,434.78261,2020-07-01,0.04,1,0,0,32,city,PE
Camaragibe,2603454.0,2020-07-02,27,157828.0,False,True,1259,797.7038299999999,2020-07-01,0.077,97,0,0,98,city,PE
Camocim de São Félix,2603504.0,2020-07-02,27,18765.0,False,True,69,367.70583999999997,2020-07-01,0.0435,3,0,0,71,city,PE
Camutanga,2603603.0,2020-07-02,27,8551.0,False,True,76,888.78494,2020-07-01,0.0395,3,0,0,55,city,PE
Canhotinho,2603702.0,2020-07-02,27,24804.0,False,True,66,266.08612,2020-07-01,0.0606,4,0,0,53,city,PE
Capoeiras,2603801.0,2020-07-02,27,20048.0,False,True,34,169.59298,2020-07-01,0.0882,3,0,0,85,city,PE
Carnaíba,2603900.0,2020-07-02,27,19551.0,False,True,49,250.62657000000002,2020-07-01,0.1224,6,0,0,80,city,PE
Carnaubeira da Penha,2603926.0,2020-07-02,27,12932.0,False,True,7,54.129290000000005,2020-07-01,0.1429,1,0,0,68,city,PE
Carpina,2604007.0,2020-07-02,27,83641.0,False,True,247,295.30972,2020-07-01,0.1538,38,0,0,85,city,PE
Caruaru,2604106.0,2020-07-02,27,361118.0,False,True,1786,494.57518,2020-07-01,0.0711,127,0,0,102,city,PE
Casinhas,2604155.0,2020-07-02,27,14341.0,False,True,23,160.37933,2020-07-01,0.087,2,0,0,50,city,PE
Catende,2604205.0,2020-07-02,27,42892.0,False,True,338,788.02574,2020-07-01,0.0621,21,0,0,87,city,PE
Cedro,2604304.0,2020-07-02,27,11807.0,False,True,38,321.84297000000004,2020-07-01,0.0263,1,0,0,68,city,PE
Chã de Alegria,2604403.0,2020-07-02,27,13518.0,False,True,138,1020.8610699999999,2020-07-01,0.0362,5,0,0,80,city,PE
Chã Grande,2604502.0,2020-07-02,27,21698.0,False,True,173,797.30851,2020-07-01,0.0636,11,0,0,82,city,PE
Condado,2604601.0,2020-07-02,27,26421.0,False,True,180,681.27626,2020-07-01,0.1222,22,0,0,71,city,PE
Correntes,2604700.0,2020-07-02,27,18207.0,False,True,55,302.08162000000004,2020-07-01,0.0364,2,0,0,70,city,PE
Cortês,2604809.0,2020-07-02,27,12578.0,False,True,89,707.5846700000001,2020-07-01,0.1011,9,0,0,64,city,PE
Cumaru,2604908.0,2020-07-02,27,10906.0,False,True,52,476.80175999999994,2020-07-01,0.0192,1,0,0,64,city,PE
Cupira,2605004.0,2020-07-02,27,24107.0,False,True,197,817.19003,2020-07-01,0.0558,11,0,0,78,city,PE
Custódia,2605103.0,2020-07-02,27,37111.0,False,True,115,309.88117,2020-07-01,0.0783,9,0,0,75,city,PE
Dormentes,2605152.0,2020-07-02,27,18908.0,False,True,123,650.5183,2020-07-01,0.0081,1,0,0,42,city,PE
Escada,2605202.0,2020-07-02,27,68875.0,False,True,220,319.41924,2020-07-01,0.1409,31,0,0,78,city,PE
Exu,2605301.0,2020-07-02,27,31825.0,False,True,14,43.99057,2020-07-01,0.0714,1,0,0,26,city,PE
Feira Nova,2605400.0,2020-07-02,27,22131.0,False,True,284,1283.26781,2020-07-01,0.0493,14,0,0,78,city,PE
Fernando de Noronha,2605459.0,2020-07-02,27,3061.0,False,True,85,2776.8703,2020-07-01,0.0,0,0,0,98,city,PE
Ferreiros,2605509.0,2020-07-02,27,12123.0,False,True,96,791.8832,2020-07-01,0.0729,7,0,0,74,city,PE
Flores,2605608.0,2020-07-02,27,22624.0,False,True,20,88.4017,2020-07-01,0.05,1,0,0,66,city,PE
Floresta,2605707.0,2020-07-02,27,32873.0,False,True,50,152.10051,2020-07-01,0.06,3,0,0,60,city,PE
Frei Miguelinho,2605806.0,2020-07-02,27,15457.0,False,True,70,452.86925,2020-07-01,0.0714,5,0,0,85,city,PE
Gameleira,2605905.0,2020-07-02,27,31052.0,False,True,130,418.65258,2020-07-01,0.1,13,0,0,83,city,PE
Garanhuns,2606002.0,2020-07-02,27,139788.0,False,True,424,303.31645,2020-07-01,0.0684,29,0,0,85,city,PE
Glória do Goitá,2606101.0,2020-07-02,27,30604.0,False,True,157,513.0048400000001,2020-07-01,0.1146,18,0,0,82,city,PE
Goiana,2606200.0,2020-07-02,27,79758.0,False,True,673,843.8025,2020-07-01,0.0654,44,0,0,98,city,PE
Granito,2606309.0,2020-07-02,27,7486.0,False,True,2,26.716540000000002,2020-07-01,0.0,0,0,0,68,city,PE
Gravatá,2606408.0,2020-07-02,27,84074.0,False,True,212,252.15881000000002,2020-07-01,0.0802,17,0,0,81,city,PE
Iati,2606507.0,2020-07-02,27,19197.0,False,True,5,26.04574,2020-07-01,0.0,0,0,0,42,city,PE
Ibimirim,2606606.0,2020-07-02,27,29235.0,False,True,45,153.92508999999998,2020-07-01,0.1556,7,0,0,70,city,PE
Ibirajuba,2606705.0,2020-07-02,27,7762.0,False,True,8,103.06622,2020-07-01,0.0,0,0,0,64,city,PE
Igarassu,2606804.0,2020-07-02,27,117019.0,False,True,439,375.15275,2020-07-01,0.1458,64,0,0,87,city,PE
Iguaracy,2606903.0,2020-07-02,27,12228.0,False,True,32,261.69447,2020-07-01,0.0625,2,0,0,68,city,PE
Ilha de Itamaracá,2607604.0,2020-07-02,27,26258.0,False,True,126,479.85375999999997,2020-07-01,0.0476,6,0,0,80,city,PE
Importados/Indefinidos,,2020-07-02,27,,False,True,140,,2020-07-01,0.2214,31,0,0,111,city,PE
Inajá,2607000.0,2020-07-02,27,23247.0,False,True,5,21.50815,2020-07-01,0.2,1,0,0,73,city,PE
Ingazeira,2607109.0,2020-07-02,27,4548.0,False,True,9,197.88918,2020-07-01,0.0,0,0,0,33,city,PE
Ipojuca,2607208.0,2020-07-02,27,96204.0,False,True,457,475.03222,2020-07-01,0.1466,67,0,0,84,city,PE
Ipubi,2607307.0,2020-07-02,27,30854.0,False,True,92,298.17852,2020-07-01,0.0978,9,0,0,94,city,PE
Itacuruba,2607406.0,2020-07-02,27,4918.0,False,True,1,20.333470000000002,2020-07-01,1.0,1,0,0,36,city,PE
Itaíba,2607505.0,2020-07-02,27,26349.0,False,True,67,254.2791,2020-07-01,0.0448,3,0,0,55,city,PE
Itambé,2607653.0,2020-07-02,27,36447.0,False,True,525,1440.44777,2020-07-01,0.0457,24,0,0,73,city,PE
Itapetim,2607703.0,2020-07-02,27,13616.0,False,True,24,176.26322,2020-07-01,0.0417,1,0,0,74,city,PE
Itapissuma,2607752.0,2020-07-02,27,26651.0,False,True,208,780.45852,2020-07-01,0.1058,22,0,0,82,city,PE
Itaquitinga,2607802.0,2020-07-02,27,16955.0,False,True,85,501.32704,2020-07-01,0.0941,8,0,0,69,city,PE
Jaboatão dos Guararapes,2607901.0,2020-07-02,27,702298.0,False,True,4890,696.28562,2020-07-01,0.1174,574,0,0,108,city,PE
Jaqueira,2607950.0,2020-07-02,27,11656.0,False,True,107,917.9821599999999,2020-07-01,0.0374,4,0,0,67,city,PE
Jataúba,2608008.0,2020-07-02,27,17150.0,False,True,127,740.52478,2020-07-01,0.0315,4,0,0,73,city,PE
Jatobá,2608057.0,2020-07-02,27,14796.0,False,True,10,67.58583,2020-07-01,0.0,0,0,0,75,city,PE
João Alfredo,2608107.0,2020-07-02,27,33822.0,False,True,114,337.05872,2020-07-01,0.1404,16,0,0,85,city,PE
Joaquim Nabuco,2608206.0,2020-07-02,27,16023.0,False,True,78,486.80022,2020-07-01,0.1154,9,0,0,62,city,PE
Jucati,2608255.0,2020-07-02,27,11424.0,False,True,43,376.40056,2020-07-01,0.0233,1,0,0,72,city,PE
