city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Acauã,2200053.0,2020-07-02,27,7084.0,False,True,6,84.69791,2020-07-01,0.0,0,0,0,30,city,PI
Agricolândia,2200103.0,2020-07-02,27,5139.0,False,True,10,194.59038999999999,2020-07-01,0.0,0,0,0,22,city,PI
Água Branca,2200202.0,2020-07-02,27,17411.0,False,True,241,1384.18241,2020-07-01,0.0539,13,0,0,71,city,PI
Alagoinha do Piauí,2200251.0,2020-07-02,27,7651.0,False,True,20,261.40373999999997,2020-07-01,0.0,0,0,0,36,city,PI
Alegrete do Piauí,2200277.0,2020-07-02,27,4915.0,False,True,4,81.38351999999999,2020-07-01,0.0,0,0,0,18,city,PI
Alto Longá,2200301.0,2020-07-02,27,14304.0,False,True,29,202.74049,2020-07-01,0.0345,1,0,0,52,city,PI
Altos,2200400.0,2020-07-02,27,40524.0,False,True,397,979.6663699999999,2020-07-01,0.0126,5,0,0,79,city,PI
Alvorada do Gurguéia,2200459.0,2020-07-02,27,5419.0,False,True,6,110.72153999999999,2020-07-01,0.0,0,0,0,70,city,PI
Amarante,2200509.0,2020-07-02,27,17598.0,False,True,12,68.18956999999999,2020-07-01,0.0,0,0,0,62,city,PI
Angical do Piauí,2200608.0,2020-07-02,27,6788.0,False,True,26,383.02887000000004,2020-07-01,0.0385,1,0,0,76,city,PI
Anísio de Abreu,2200707.0,2020-07-02,27,9880.0,False,True,18,182.18623,2020-07-01,0.0,0,0,0,69,city,PI
Antônio Almeida,2200806.0,2020-07-02,27,3164.0,False,True,4,126.42225,2020-07-01,0.0,0,0,0,5,city,PI
Aroazes,2200905.0,2020-07-02,27,5835.0,False,True,12,205.65553,2020-07-01,0.0833,1,0,0,65,city,PI
Assunção do Piauí,2201051.0,2020-07-02,27,7846.0,False,True,18,229.41626000000002,2020-07-01,0.0,0,0,0,18,city,PI
Avelino Lopes,2201101.0,2020-07-02,27,11289.0,False,True,3,26.574540000000002,2020-07-01,0.0,0,0,0,46,city,PI
Baixa Grande do Ribeiro,2201150.0,2020-07-02,27,11586.0,False,True,63,543.7597099999999,2020-07-01,0.0317,2,0,0,57,city,PI
Barra D'Alcântara,2201176.0,2020-07-02,27,3951.0,False,True,1,25.31005,2020-07-01,0.0,0,0,0,10,city,PI
Barras,2201200.0,2020-07-02,27,47066.0,False,True,602,1279.05494,2020-07-01,0.0266,16,0,0,67,city,PI
Barreiras do Piauí,2201309.0,2020-07-02,27,3348.0,False,True,2,59.737159999999996,2020-07-01,0.0,0,0,0,41,city,PI
Barro Duro,2201408.0,2020-07-02,27,7032.0,False,True,50,711.03527,2020-07-01,0.02,1,0,0,39,city,PI
Batalha,2201507.0,2020-07-02,27,26857.0,False,True,146,543.61991,2020-07-01,0.0274,4,0,0,60,city,PI
Bela Vista do Piauí,2201556.0,2020-07-02,27,4015.0,False,True,1,24.9066,2020-07-01,0.0,0,0,0,49,city,PI
Belém do Piauí,2201572.0,2020-07-02,27,3566.0,False,True,8,224.34099999999998,2020-07-01,0.125,1,0,0,45,city,PI
Beneditinos,2201606.0,2020-07-02,27,10467.0,False,True,15,143.30754,2020-07-01,0.2,3,0,0,60,city,PI
Bertolínia,2201705.0,2020-07-02,27,5501.0,False,True,22,399.92728999999997,2020-07-01,0.0,0,0,0,61,city,PI
Betânia do Piauí,2201739.0,2020-07-02,27,6205.0,False,True,3,48.34811,2020-07-01,0.0,0,0,0,74,city,PI
Boa Hora,2201770.0,2020-07-02,27,6781.0,False,True,32,471.9068,2020-07-01,0.0,0,0,0,65,city,PI
Bocaina,2201804.0,2020-07-02,27,4500.0,False,True,16,355.55556,2020-07-01,0.0,0,0,0,42,city,PI
Bom Jesus,2201903.0,2020-07-02,27,25179.0,False,True,295,1171.61126,2020-07-01,0.0068,2,0,0,70,city,PI
Bom Princípio do Piauí,2201919.0,2020-07-02,27,5630.0,False,True,12,213.14387000000002,2020-07-01,0.0833,1,0,0,77,city,PI
Bonfim do Piauí,2201929.0,2020-07-02,27,5670.0,False,True,2,35.27337,2020-07-01,0.0,0,0,0,79,city,PI
Boqueirão do Piauí,2201945.0,2020-07-02,27,6407.0,False,True,33,515.06165,2020-07-01,0.0,0,0,0,27,city,PI
Brasileira,2201960.0,2020-07-02,27,8329.0,False,True,33,396.20603,2020-07-01,0.0,0,0,0,38,city,PI
Buriti dos Lopes,2202000.0,2020-07-02,27,19781.0,False,True,263,1329.55867,2020-07-01,0.0152,4,0,0,68,city,PI
Buriti dos Montes,2202026.0,2020-07-02,27,8244.0,False,True,4,48.520140000000005,2020-07-01,0.25,1,0,0,44,city,PI
Cabeceiras do Piauí,2202059.0,2020-07-02,27,10586.0,False,True,32,302.28604,2020-07-01,0.0,0,0,0,45,city,PI
Cajazeiras do Piauí,2202075.0,2020-07-02,27,3559.0,False,True,4,112.39112,2020-07-01,0.0,0,0,0,41,city,PI
Cajueiro da Praia,2202083.0,2020-07-02,27,7642.0,False,True,89,1164.61659,2020-07-01,0.0225,2,0,0,30,city,PI
Caldeirão Grande do Piauí,2202091.0,2020-07-02,27,5776.0,False,True,17,294.32133,2020-07-01,0.0,0,0,0,41,city,PI
Campinas do Piauí,2202109.0,2020-07-02,27,5613.0,False,True,5,89.07892,2020-07-01,0.0,0,0,0,36,city,PI
Campo Alegre do Fidalgo,2202117.0,2020-07-02,27,5045.0,False,True,1,19.82161,2020-07-01,0.0,0,0,0,37,city,PI
Campo Grande do Piauí,2202133.0,2020-07-02,27,5943.0,False,True,39,656.23423,2020-07-01,0.0256,1,0,0,49,city,PI
Campo Largo do Piauí,2202174.0,2020-07-02,27,7279.0,False,True,23,315.97747000000004,2020-07-01,0.087,2,0,0,42,city,PI
Campo Maior,2202208.0,2020-07-02,27,46833.0,False,True,790,1686.84475,2020-07-01,0.0139,11,0,0,91,city,PI
Canto do Buriti,2202307.0,2020-07-02,27,21187.0,False,True,30,141.59626,2020-07-01,0.0333,1,0,0,69,city,PI
Capitão de Campos,2202406.0,2020-07-02,27,11417.0,False,True,27,236.48945,2020-07-01,0.0,0,0,0,45,city,PI
Capitão Gervásio Oliveira,2202455.0,2020-07-02,27,4100.0,False,True,5,121.95121999999999,2020-07-01,0.0,0,0,0,43,city,PI
Caracol,2202505.0,2020-07-02,27,10916.0,False,True,15,137.41297,2020-07-01,0.0,0,0,0,81,city,PI
Caraúbas do Piauí,2202539.0,2020-07-02,27,5868.0,False,True,29,494.20586,2020-07-01,0.0,0,0,0,36,city,PI
Caridade do Piauí,2202554.0,2020-07-02,27,5067.0,False,True,9,177.61989,2020-07-01,0.0,0,0,0,26,city,PI
Castelo do Piauí,2202604.0,2020-07-02,27,19716.0,False,True,22,111.5845,2020-07-01,0.1364,3,0,0,71,city,PI
Caxingó,2202653.0,2020-07-02,27,5424.0,False,True,36,663.71681,2020-07-01,0.0,0,0,0,31,city,PI
Cocal,2202703.0,2020-07-02,27,27787.0,False,True,157,565.01242,2020-07-01,0.0191,3,0,0,60,city,PI
Cocal de Telha,2202711.0,2020-07-02,27,4891.0,False,True,28,572.4800700000001,2020-07-01,0.0,0,0,0,56,city,PI
Cocal dos Alves,2202729.0,2020-07-02,27,6153.0,False,True,3,48.7567,2020-07-01,0.0,0,0,0,62,city,PI
Coivaras,2202737.0,2020-07-02,27,4020.0,False,True,31,771.14428,2020-07-01,0.0,0,0,0,57,city,PI
Colônia do Gurguéia,2202752.0,2020-07-02,27,6484.0,False,True,5,77.11289000000001,2020-07-01,0.4,2,0,0,74,city,PI
Colônia do Piauí,2202778.0,2020-07-02,27,7656.0,False,True,12,156.73981,2020-07-01,0.0,0,0,0,62,city,PI
Coronel José Dias,2202851.0,2020-07-02,27,4682.0,False,True,6,128.15036,2020-07-01,0.0,0,0,0,11,city,PI
Corrente,2202901.0,2020-07-02,27,26644.0,False,True,41,153.8808,2020-07-01,0.0,0,0,0,67,city,PI
Cristino Castro,2203107.0,2020-07-02,27,10423.0,False,True,20,191.88333,2020-07-01,0.05,1,0,0,41,city,PI
Curimatá,2203206.0,2020-07-02,27,11388.0,False,True,39,342.46575,2020-07-01,0.0,0,0,0,45,city,PI
