city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Abatiá,4100103.0,2020-07-02,27,7457.0,False,True,44,590.04962,2020-07-01,0.0,0,0,0,56,city,PR
Adrianópolis,4100202.0,2020-07-02,27,5919.0,False,True,32,540.63186,2020-07-01,0.0312,1,0,0,22,city,PR
Agudos do Sul,4100301.0,2020-07-02,27,9371.0,False,True,20,213.42439,2020-07-01,0.0,0,0,0,55,city,PR
Almirante Tamandaré,4100400.0,2020-07-02,27,118623.0,False,True,160,134.88109,2020-07-01,0.0125,2,0,0,95,city,PR
Altamira do Paraná,4100459.0,2020-07-02,27,1942.0,False,True,1,51.49331,2020-07-01,0.0,0,0,0,35,city,PR
Altônia,4100509.0,2020-07-02,27,22056.0,False,True,6,27.20348,2020-07-01,0.0,0,0,0,17,city,PR
Alto Paraíso,4128625.0,2020-07-02,27,2741.0,False,True,1,36.48304,2020-07-01,0.0,0,0,0,43,city,PR
Alto Paraná,4100608.0,2020-07-02,27,14770.0,False,True,14,94.78673,2020-07-01,0.0,0,0,0,76,city,PR
Alto Piquiri,4100707.0,2020-07-02,27,9836.0,False,True,13,132.16755,2020-07-01,0.0,0,0,0,17,city,PR
Alvorada do Sul,4100806.0,2020-07-02,27,11406.0,False,True,9,78.90584,2020-07-01,0.2222,2,0,0,62,city,PR
Amaporã,4100905.0,2020-07-02,27,6257.0,False,True,19,303.6599,2020-07-01,0.0,0,0,0,75,city,PR
Ampére,4101002.0,2020-07-02,27,19152.0,False,True,6,31.32832,2020-07-01,0.1667,1,0,0,60,city,PR
Anahy,4101051.0,2020-07-02,27,2801.0,False,True,9,321.31382,2020-07-01,0.0,0,0,0,45,city,PR
Andirá,4101101.0,2020-07-02,27,20031.0,False,True,49,244.62084,2020-07-01,0.0204,1,0,0,49,city,PR
Ângulo,4101150.0,2020-07-02,27,2928.0,False,True,1,34.153009999999995,2020-07-01,0.0,0,0,0,38,city,PR
Antonina,4101200.0,2020-07-02,27,18980.0,False,True,22,115.91148999999999,2020-07-01,0.0,0,0,0,34,city,PR
Antônio Olinto,4101309.0,2020-07-02,27,7434.0,False,True,6,80.71025,2020-07-01,0.0,0,0,0,28,city,PR
Apucarana,4101408.0,2020-07-02,27,134996.0,False,True,118,87.41,2020-07-01,0.0763,9,0,0,81,city,PR
Arapongas,4101507.0,2020-07-02,27,123027.0,False,True,143,116.23465,2020-07-01,0.042,6,0,0,93,city,PR
Arapoti,4101606.0,2020-07-02,27,28115.0,False,True,65,231.19331,2020-07-01,0.0154,1,0,0,32,city,PR
Arapuã,4101655.0,2020-07-02,27,3068.0,False,True,1,32.59452,2020-07-01,0.0,0,0,0,3,city,PR
Araruna,4101705.0,2020-07-02,27,13970.0,False,True,34,243.37867000000003,2020-07-01,0.0882,3,0,0,91,city,PR
Araucária,4101804.0,2020-07-02,27,143843.0,False,True,401,278.77617000000004,2020-07-01,0.0125,5,0,0,93,city,PR
Assaí,4101903.0,2020-07-02,27,15119.0,False,True,19,125.66968999999999,2020-07-01,0.2105,4,0,0,79,city,PR
Assis Chateaubriand,4102000.0,2020-07-02,27,33362.0,False,True,85,254.78089,2020-07-01,0.0235,2,0,0,93,city,PR
Astorga,4102109.0,2020-07-02,27,26111.0,False,True,4,15.31921,2020-07-01,0.0,0,0,0,13,city,PR
Atalaia,4102208.0,2020-07-02,27,3892.0,False,True,2,51.38746,2020-07-01,0.0,0,0,0,22,city,PR
Balsa Nova,4102307.0,2020-07-02,27,12941.0,False,True,53,409.55104,2020-07-01,0.0189,1,0,0,89,city,PR
Bandeirantes,4102406.0,2020-07-02,27,31367.0,False,True,28,89.26579,2020-07-01,0.0357,1,0,0,88,city,PR
Barbosa Ferraz,4102505.0,2020-07-02,27,11568.0,False,True,10,86.44537,2020-07-01,0.0,0,0,0,31,city,PR
Barracão,4102604.0,2020-07-02,27,10275.0,False,True,13,126.52068,2020-07-01,0.0,0,0,0,70,city,PR
Bela Vista do Paraíso,4102802.0,2020-07-02,27,15397.0,False,True,21,136.39021,2020-07-01,0.1429,3,0,0,43,city,PR
Bituruna,4102901.0,2020-07-02,27,16389.0,False,True,18,109.82976000000001,2020-07-01,0.0,0,0,0,32,city,PR
