city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Angra dos Reis,3300100.0,2020-07-02,27,203785.0,False,True,2232,1095.27198,2020-07-01,0.0381,85,0,0,95,city,RJ
Aperibé,3300159.0,2020-07-02,27,11759.0,False,True,90,765.37121,2020-07-01,0.0222,2,0,0,71,city,RJ
Araruama,3300209.0,2020-07-02,27,132400.0,False,True,341,257.55287000000004,2020-07-01,0.1026,35,0,0,91,city,RJ
Areal,3300225.0,2020-07-02,27,12572.0,False,True,94,747.69329,2020-07-01,0.0106,1,0,0,79,city,RJ
Armação dos Búzios,3300233.0,2020-07-02,27,33870.0,False,True,180,531.44376,2020-07-01,0.0389,7,0,0,80,city,RJ
Arraial do Cabo,3300258.0,2020-07-02,27,30349.0,False,True,80,263.60012,2020-07-01,0.0625,5,0,0,93,city,RJ
Barra do Piraí,3300308.0,2020-07-02,27,100374.0,False,True,394,392.53193,2020-07-01,0.0635,25,0,0,91,city,RJ
Barra Mansa,3300407.0,2020-07-02,27,184412.0,False,True,505,273.84335,2020-07-01,0.0713,36,0,0,120,city,RJ
Belford Roxo,3300456.0,2020-07-02,27,510906.0,False,True,1460,285.76685,2020-07-01,0.1212,177,0,0,99,city,RJ
Bom Jardim,3300506.0,2020-07-02,27,27446.0,False,True,54,196.74998,2020-07-01,0.037000000000000005,2,0,0,87,city,RJ
Bom Jesus do Itabapoana,3300605.0,2020-07-02,27,37096.0,False,True,136,366.61635,2020-07-01,0.0147,2,0,0,84,city,RJ
Cabo Frio,3300704.0,2020-07-02,27,226525.0,False,True,903,398.6315,2020-07-01,0.0487,44,0,0,87,city,RJ
Cachoeiras de Macacu,3300803.0,2020-07-02,27,58937.0,False,True,337,571.797,2020-07-01,0.0593,20,0,0,84,city,RJ
Cambuci,3300902.0,2020-07-02,27,15505.0,False,True,55,354.72427999999996,2020-07-01,0.0182,1,0,0,50,city,RJ
Campos dos Goytacazes,3301009.0,2020-07-02,27,507548.0,False,True,1898,373.95477999999997,2020-07-01,0.0495,94,0,0,101,city,RJ
Cantagalo,3301108.0,2020-07-02,27,20172.0,False,True,24,118.9768,2020-07-01,0.0417,1,0,0,85,city,RJ
Carapebus,3300936.0,2020-07-02,27,16301.0,False,True,143,877.24679,2020-07-01,0.013999999999999999,2,0,0,79,city,RJ
Cardoso Moreira,3301157.0,2020-07-02,27,12823.0,False,True,133,1037.1987800000002,2020-07-01,0.0,0,0,0,56,city,RJ
Carmo,3301207.0,2020-07-02,27,18895.0,False,True,68,359.88357,2020-07-01,0.0294,2,0,0,62,city,RJ
Casimiro de Abreu,3301306.0,2020-07-02,27,44184.0,False,True,350,792.14195,2020-07-01,0.0286,10,0,0,87,city,RJ
Comendador Levy Gasparian,3300951.0,2020-07-02,27,8561.0,False,True,51,595.7248,2020-07-01,0.0,0,0,0,46,city,RJ
Conceição de Macabu,3301405.0,2020-07-02,27,23228.0,False,True,200,861.02979,2020-07-01,0.005,1,0,0,72,city,RJ
Cordeiro,3301504.0,2020-07-02,27,21926.0,False,True,31,141.38466,2020-07-01,0.0323,1,0,0,68,city,RJ
Duas Barras,3301603.0,2020-07-02,27,11492.0,False,True,7,60.91194,2020-07-01,0.1429,1,0,0,37,city,RJ
Duque de Caxias,3301702.0,2020-07-02,27,919596.0,False,True,3191,347.0002,2020-07-01,0.1398,446,0,0,101,city,RJ
Engenheiro Paulo de Frontin,3301801.0,2020-07-02,27,14002.0,False,True,68,485.64491,2020-07-01,0.0294,2,0,0,59,city,RJ
Guapimirim,3301850.0,2020-07-02,27,60517.0,False,True,788,1302.11346,2020-07-01,0.0419,33,0,0,107,city,RJ
Iguaba Grande,3301876.0,2020-07-02,27,28310.0,False,True,204,720.59343,2020-07-01,0.098,20,0,0,91,city,RJ
Importados/Indefinidos,,2020-07-02,27,,False,True,0,,2020-07-01,0.0,0,0,0,104,city,RJ
Itaboraí,3301900.0,2020-07-02,27,240592.0,False,True,2532,1052.4040699999998,2020-07-01,0.0498,126,0,0,98,city,RJ
Itaguaí,3302007.0,2020-07-02,27,133019.0,False,True,1423,1069.77199,2020-07-01,0.0555,79,0,0,92,city,RJ
Italva,3302056.0,2020-07-02,27,15207.0,False,True,151,992.96377,2020-07-01,0.0199,3,0,0,67,city,RJ
Itaocara,3302106.0,2020-07-02,27,23234.0,False,True,107,460.53198,2020-07-01,0.0561,6,0,0,63,city,RJ
Itaperuna,3302205.0,2020-07-02,27,103224.0,False,True,843,816.6705400000001,2020-07-01,0.0012,1,0,0,89,city,RJ
Itatiaia,3302254.0,2020-07-02,27,31805.0,False,True,42,132.05471,2020-07-01,0.0,0,0,0,84,city,RJ
Japeri,3302270.0,2020-07-02,27,104768.0,False,True,179,170.8537,2020-07-01,0.1006,18,0,0,87,city,RJ
Laje do Muriaé,3302304.0,2020-07-02,27,7355.0,False,True,124,1685.9279399999998,2020-07-01,0.0,0,0,0,53,city,RJ
Macaé,3302403.0,2020-07-02,27,256672.0,False,True,2389,930.7598800000001,2020-07-01,0.0331,79,0,0,94,city,RJ
Macuco,3302452.0,2020-07-02,27,5599.0,False,True,17,303.62565,2020-07-01,0.0,0,0,0,71,city,RJ
Magé,3302502.0,2020-07-02,27,245071.0,False,True,1654,674.9064599999999,2020-07-01,0.0798,132,0,0,92,city,RJ
