city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Acari,2400109.0,2020-07-02,27,11136.0,False,True,25,224.49712999999997,2020-06-30,0.04,1,0,0,81,city,RN
Açu,2400208.0,2020-07-02,27,58017.0,False,True,448,772.18746,2020-06-30,0.0379,17,0,0,97,city,RN
Afonso Bezerra,2400307.0,2020-07-02,27,11035.0,False,True,49,444.04169,2020-06-30,0.0816,4,0,0,59,city,RN
Água Nova,2400406.0,2020-07-02,27,3252.0,False,True,1,30.75031,2020-06-30,0.0,0,0,0,5,city,RN
Alexandria,2400505.0,2020-07-02,27,13577.0,False,True,16,117.84636,2020-06-30,0.125,2,0,0,73,city,RN
Almino Afonso,2400604.0,2020-07-02,27,4735.0,False,True,14,295.67054,2020-06-30,0.0,0,0,0,52,city,RN
Alto do Rodrigues,2400703.0,2020-07-02,27,14529.0,False,True,194,1335.26051,2020-06-30,0.0309,6,0,0,76,city,RN
Angicos,2400802.0,2020-07-02,27,11714.0,False,True,78,665.8699,2020-06-30,0.0256,2,0,0,50,city,RN
Antônio Martins,2400901.0,2020-07-02,27,7145.0,False,True,3,41.9874,2020-06-30,0.3333,1,0,0,53,city,RN
Apodi,2401008.0,2020-07-02,27,35845.0,False,True,772,2153.71739,2020-06-30,0.0117,9,0,0,95,city,RN
Areia Branca,2401107.0,2020-07-02,27,27774.0,False,True,564,2030.67617,2020-06-30,0.0674,38,0,0,89,city,RN
Arês,2401206.0,2020-07-02,27,14306.0,False,True,94,657.06696,2020-06-30,0.0,0,0,0,69,city,RN
Baía Formosa,2401404.0,2020-07-02,27,9271.0,False,True,30,323.58969,2020-06-30,0.0333,1,0,0,91,city,RN
Baraúna,2401453.0,2020-07-02,27,28374.0,False,True,222,782.40643,2020-06-30,0.0405,9,0,0,76,city,RN
Barcelona,2401503.0,2020-07-02,27,3998.0,False,True,14,350.17509,2020-06-30,0.0,0,0,0,78,city,RN
Bento Fernandes,2401602.0,2020-07-02,27,5497.0,False,True,11,200.10915,2020-06-30,0.0,0,0,0,76,city,RN
Bodó,2401651.0,2020-07-02,27,2223.0,False,True,2,89.96851,2020-06-30,0.0,0,0,0,26,city,RN
Bom Jesus,2401701.0,2020-07-02,27,10210.0,False,True,60,587.6591599999999,2020-06-30,0.0333,2,0,0,64,city,RN
Brejinho,2401800.0,2020-07-02,27,12699.0,False,True,68,535.47523,2020-06-30,0.0147,1,0,0,65,city,RN
Caiçara do Norte,2401859.0,2020-07-02,27,6549.0,False,True,47,717.66682,2020-06-30,0.0213,1,0,0,52,city,RN
Caiçara do Rio do Vento,2401909.0,2020-07-02,27,3684.0,False,True,48,1302.9316,2020-06-30,0.0208,1,0,0,46,city,RN
Caicó,2402006.0,2020-07-02,27,67952.0,False,True,355,522.4276,2020-06-30,0.0141,5,0,0,97,city,RN
Campo Redondo,2402105.0,2020-07-02,27,11217.0,False,True,49,436.83694,2020-06-30,0.0,0,0,0,72,city,RN
Canguaretama,2402204.0,2020-07-02,27,34276.0,False,True,146,425.95402,2020-06-30,0.0753,11,0,0,82,city,RN
Caraúbas,2402303.0,2020-07-02,27,20493.0,False,True,149,727.07754,2020-06-30,0.0,0,0,0,91,city,RN
Carnaúba dos Dantas,2402402.0,2020-07-02,27,8180.0,False,True,21,256.72372,2020-06-30,0.0952,2,0,0,72,city,RN
Carnaubais,2402501.0,2020-07-02,27,10759.0,False,True,62,576.26173,2020-06-30,0.0323,2,0,0,95,city,RN
