city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Alto Alegre,1400050.0,2020-07-02,27,15510.0,False,True,219,1411.99226,2020-06-29,0.0228,5,0,0,87,city,RR
Amajari,1400027.0,2020-07-02,27,12796.0,False,True,141,1101.90685,2020-06-29,0.0284,4,0,0,59,city,RR
Boa Vista,1400100.0,2020-07-02,27,399213.0,False,True,10986,2751.91439,2020-06-29,0.0207,227,0,0,104,city,RR
Bonfim,1400159.0,2020-07-02,27,12409.0,False,True,161,1297.4454,2020-06-29,0.0248,4,0,0,101,city,RR
Cantá,1400175.0,2020-07-02,27,18335.0,False,True,359,1958.00382,2020-06-29,0.0167,6,0,0,92,city,RR
Caracaraí,1400209.0,2020-07-02,27,21926.0,False,True,145,661.31533,2020-06-29,0.0069,1,0,0,64,city,RR
Caroebe,1400233.0,2020-07-02,27,10169.0,False,True,359,3530.3373,2020-06-29,0.0056,2,0,0,73,city,RR
Importados/Indefinidos,,2020-07-02,27,,False,True,240,,2020-06-29,0.0042,1,0,0,64,city,RR
Iracema,1400282.0,2020-07-02,27,11950.0,False,True,91,761.50628,2020-06-29,0.011000000000000001,1,0,0,59,city,RR
Mucajaí,1400308.0,2020-07-02,27,17853.0,False,True,285,1596.37036,2020-06-29,0.0105,3,0,0,78,city,RR
Normandia,1400407.0,2020-07-02,27,11290.0,False,True,76,673.16209,2020-06-29,0.0526,4,0,0,59,city,RR
Pacaraima,1400456.0,2020-07-02,27,17401.0,False,True,653,3752.65789,2020-06-29,0.0214,14,0,0,83,city,RR
Rorainópolis,1400472.0,2020-07-02,27,30163.0,False,True,495,1641.08345,2020-06-29,0.0162,8,0,0,78,city,RR
São João da Baliza,1400506.0,2020-07-02,27,8201.0,False,True,317,3865.3822700000005,2020-06-29,0.0063,2,0,0,59,city,RR
São Luiz,1400605.0,2020-07-02,27,7986.0,False,True,75,939.1435,2020-06-29,0.0,0,0,0,77,city,RR
Uiramutã,1400704.0,2020-07-02,27,10559.0,False,True,39,369.35316,2020-06-29,0.0256,1,0,0,59,city,RR
