city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Água Santa,4300059.0,2020-07-02,27,3748.0,True,False,30,800.4268900000001,2020-07-02,0.0,0,1,0,56,city,RS
Agudo,4300109.0,2020-07-02,27,16461.0,True,False,2,12.14993,2020-07-02,0.0,0,0,0,35,city,RS
Ajuricaba,4300208.0,2020-07-02,27,7024.0,True,False,2,28.4738,2020-07-02,0.0,0,0,0,81,city,RS
Alecrim,4300307.0,2020-07-02,27,5950.0,True,False,2,33.61345,2020-07-02,0.0,0,0,0,46,city,RS
Alegrete,4300406.0,2020-07-02,27,73589.0,True,False,72,97.84071,2020-07-02,0.0694,5,2,0,93,city,RS
Alegria,4300455.0,2020-07-02,27,3464.0,True,False,5,144.3418,2020-07-02,0.0,0,0,0,7,city,RS
Alpestre,4300505.0,2020-07-02,27,6258.0,True,False,15,239.69319,2020-07-02,0.0,0,0,0,59,city,RS
Alto Feliz,4300570.0,2020-07-02,27,3028.0,True,False,6,198.15059,2020-07-02,0.0,0,0,0,14,city,RS
Alvorada,4300604.0,2020-07-02,27,210305.0,True,False,407,193.52845,2020-07-02,0.0295,12,20,3,106,city,RS
Ametista do Sul,4300646.0,2020-07-02,27,7409.0,True,False,12,161.96518,2020-07-02,0.0,0,0,0,56,city,RS
André da Rocha,4300661.0,2020-07-02,27,1333.0,True,False,2,150.03751,2020-07-02,0.0,0,1,0,16,city,RS
Anta Gorda,4300703.0,2020-07-02,27,5981.0,True,False,11,183.91573,2020-07-02,0.0,0,1,0,101,city,RS
Antônio Prado,4300802.0,2020-07-02,27,13050.0,True,False,13,99.61686,2020-07-02,0.0,0,1,0,58,city,RS
Araricá,4300877.0,2020-07-02,27,5698.0,True,False,8,140.40014,2020-07-02,0.125,1,0,0,32,city,RS
Aratiba,4300901.0,2020-07-02,27,6235.0,True,False,9,144.34643,2020-07-02,0.0,0,0,0,31,city,RS
Arroio do Meio,4301008.0,2020-07-02,27,20805.0,True,False,149,716.174,2020-07-02,0.0,0,3,0,75,city,RS
Arroio do Sal,4301057.0,2020-07-02,27,10065.0,True,False,12,119.22503999999999,2020-07-02,0.0833,1,0,0,89,city,RS
Arroio dos Ratos,4301107.0,2020-07-02,27,14151.0,True,False,15,105.99958000000001,2020-07-02,0.0667,1,0,0,86,city,RS
Arroio Grande,4301305.0,2020-07-02,27,18293.0,True,False,5,27.332859999999997,2020-07-02,0.0,0,0,0,34,city,RS
Arvorezinha,4301404.0,2020-07-02,27,10424.0,True,False,7,67.15272,2020-07-02,0.1429,1,1,1,69,city,RS
Áurea,4301552.0,2020-07-02,27,3554.0,True,False,1,28.13731,2020-07-02,0.0,0,0,0,48,city,RS
Bagé,4301602.0,2020-07-02,27,121143.0,True,False,116,95.7546,2020-07-02,0.0,0,2,0,106,city,RS
Balneário Pinhal,4301636.0,2020-07-02,27,14068.0,True,False,11,78.19164,2020-07-02,0.0,0,0,0,36,city,RS
Barão,4301651.0,2020-07-02,27,6171.0,True,False,8,129.63863,2020-07-02,0.0,0,0,0,31,city,RS
Barão de Cotegipe,4301701.0,2020-07-02,27,6623.0,True,False,61,921.0327599999999,2020-07-02,0.0164,1,0,0,49,city,RS
Barracão,4301800.0,2020-07-02,27,5275.0,True,False,8,151.65877,2020-07-02,0.0,0,0,0,28,city,RS
Barra do Guarita,4301859.0,2020-07-02,27,3248.0,True,False,2,61.57635,2020-07-02,0.0,0,2,0,1,city,RS
Barra do Ribeiro,4301909.0,2020-07-02,27,13491.0,True,False,15,111.18523,2020-07-02,0.0667,1,1,0,51,city,RS
Barra do Rio Azul,4301925.0,2020-07-02,27,1690.0,True,False,2,118.3432,2020-07-02,0.0,0,0,0,4,city,RS
Barra Funda,4301958.0,2020-07-02,27,2539.0,True,False,1,39.38558,2020-07-02,0.0,0,0,0,14,city,RS
Barros Cassal,4302006.0,2020-07-02,27,11199.0,True,False,2,17.85874,2020-07-02,0.5,1,0,0,62,city,RS
Benjamin Constant do Sul,4302055.0,2020-07-02,27,1994.0,True,False,21,1053.15948,2020-07-02,0.0,0,0,0,44,city,RS
Bento Gonçalves,4302105.0,2020-07-02,27,120454.0,True,False,1334,1107.47671,2020-07-02,0.0247,33,6,2,105,city,RS
Boa Vista das Missões,4302154.0,2020-07-02,27,2098.0,True,False,2,95.32888,2020-07-02,0.0,0,0,0,44,city,RS
Boa Vista do Sul,4302253.0,2020-07-02,27,2783.0,True,False,13,467.12181,2020-07-02,0.0769,1,0,0,64,city,RS
Bom Jesus,4302303.0,2020-07-02,27,11349.0,True,False,50,440.56745,2020-07-02,0.0,0,1,0,55,city,RS
Bom Princípio,4302352.0,2020-07-02,27,14055.0,True,False,74,526.50302,2020-07-02,0.0,0,4,0,58,city,RS
Bom Progresso,4302378.0,2020-07-02,27,1942.0,True,False,6,308.95984,2020-07-02,0.0,0,0,0,44,city,RS
Bom Retiro do Sul,4302402.0,2020-07-02,27,12328.0,True,False,79,640.81765,2020-07-02,0.0127,1,0,0,85,city,RS
Boqueirão do Leão,4302451.0,2020-07-02,27,7714.0,True,False,1,12.96344,2020-07-02,0.0,0,1,0,1,city,RS
Bossoroca,4302501.0,2020-07-02,27,6279.0,True,False,3,47.77831,2020-07-02,0.0,0,0,0,32,city,RS
Braga,4302600.0,2020-07-02,27,3353.0,True,False,2,59.64808000000001,2020-07-02,0.0,0,0,0,41,city,RS
Brochier,4302659.0,2020-07-02,27,5074.0,True,False,17,335.04139,2020-07-02,0.0,0,0,0,49,city,RS
Butiá,4302709.0,2020-07-02,27,20941.0,True,False,29,138.48431000000002,2020-07-02,0.0345,1,2,0,54,city,RS
Caçapava do Sul,4302808.0,2020-07-02,27,33624.0,True,False,164,487.74685,2020-07-02,0.0122,2,3,0,59,city,RS
Cacequi,4302907.0,2020-07-02,27,12561.0,True,False,2,15.9223,2020-07-02,0.0,0,0,0,12,city,RS
Cachoeira do Sul,4303004.0,2020-07-02,27,82201.0,True,False,107,130.16873,2020-07-02,0.0,0,2,0,98,city,RS
Cachoeirinha,4303103.0,2020-07-02,27,130293.0,True,False,385,295.48786,2020-07-02,0.013000000000000001,5,41,0,94,city,RS
Cacique Doble,4303202.0,2020-07-02,27,5065.0,True,False,15,296.15005,2020-07-02,0.0,0,-1,0,36,city,RS
Caibaté,4303301.0,2020-07-02,27,4846.0,True,False,0,,2020-07-02,0.0,0,0,0,49,city,RS
Caiçara,4303400.0,2020-07-02,27,4743.0,True,False,7,147.58592,2020-07-02,0.0,0,1,0,13,city,RS
Camaquã,4303509.0,2020-07-02,27,66261.0,True,False,93,140.35405,2020-07-02,0.043,4,12,0,101,city,RS
Camargo,4303558.0,2020-07-02,27,2733.0,True,False,20,731.79656,2020-07-02,0.0,0,0,0,49,city,RS
Cambará do Sul,4303608.0,2020-07-02,27,6431.0,True,False,6,93.29809,2020-07-02,0.0,0,1,0,28,city,RS
Campestre da Serra,4303673.0,2020-07-02,27,3388.0,True,False,11,324.67532,2020-07-02,0.0,0,0,0,70,city,RS
Campina das Missões,4303707.0,2020-07-02,27,5474.0,True,False,1,18.268179999999997,2020-07-02,0.0,0,1,0,1,city,RS
Campinas do Sul,4303806.0,2020-07-02,27,5454.0,True,False,9,165.0165,2020-07-02,0.0,0,0,0,72,city,RS
Campo Bom,4303905.0,2020-07-02,27,66712.0,True,False,230,344.76556,2020-07-02,0.0435,10,23,0,115,city,RS
Campo Novo,4304002.0,2020-07-02,27,4484.0,True,False,5,111.50758,2020-07-02,0.0,0,0,0,42,city,RS
Candelária,4304200.0,2020-07-02,27,31365.0,True,False,11,35.07094,2020-07-02,0.0,0,0,0,79,city,RS
Cândido Godói,4304309.0,2020-07-02,27,6198.0,True,False,1,16.13424,2020-07-02,0.0,0,0,0,14,city,RS
Candiota,4304358.0,2020-07-02,27,9584.0,True,False,5,52.17028,2020-07-02,0.0,0,0,0,67,city,RS
