city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Abdon Batista,4200051.0,2020-07-02,27,2563.0,True,False,28,1092.46976,2020-07-02,0.0,0,-1,0,35,city,SC
Abelardo Luz,4200101.0,2020-07-02,27,17904.0,True,False,49,273.68186000000003,2020-07-02,0.0204,1,1,0,53,city,SC
Agrolândia,4200200.0,2020-07-02,27,10864.0,True,False,12,110.45655,2020-07-02,0.1667,2,0,0,38,city,SC
Agronômica,4200309.0,2020-07-02,27,5448.0,True,False,17,312.04112000000003,2020-07-02,0.1176,2,2,0,46,city,SC
Água Doce,4200408.0,2020-07-02,27,7145.0,True,False,11,153.95381,2020-07-02,0.0,0,0,0,61,city,SC
Águas de Chapecó,4200507.0,2020-07-02,27,6486.0,True,False,26,400.8634,2020-07-02,0.0,0,0,0,66,city,SC
Águas Frias,4200556.0,2020-07-02,27,2366.0,True,False,1,42.26543,2020-07-02,0.0,0,0,0,38,city,SC
Águas Mornas,4200606.0,2020-07-02,27,6469.0,True,False,14,216.41676,2020-07-02,0.0,0,0,0,88,city,SC
Alfredo Wagner,4200705.0,2020-07-02,27,10036.0,True,False,4,39.85652,2020-07-02,0.0,0,0,0,38,city,SC
Alto Bela Vista,4200754.0,2020-07-02,27,1937.0,True,False,6,309.75736,2020-07-02,0.0,0,0,0,62,city,SC
Anchieta,4200804.0,2020-07-02,27,5638.0,True,False,9,159.63107,2020-07-02,0.0,0,0,0,50,city,SC
Angelina,4200903.0,2020-07-02,27,4801.0,True,False,1,20.82899,2020-07-02,0.0,0,1,0,6,city,SC
Anita Garibaldi,4201000.0,2020-07-02,27,7133.0,True,False,9,126.17412,2020-07-02,0.0,0,0,0,87,city,SC
Anitápolis,4201109.0,2020-07-02,27,3232.0,True,False,6,185.64356,2020-07-02,0.0,0,5,0,8,city,SC
Antônio Carlos,4201208.0,2020-07-02,27,8513.0,True,False,48,563.84353,2020-07-02,0.0833,4,4,-1,98,city,SC
Apiúna,4201257.0,2020-07-02,27,10743.0,True,False,12,111.70063999999999,2020-07-02,0.0,0,1,0,23,city,SC
Arabutã,4201273.0,2020-07-02,27,4267.0,True,False,33,773.37708,2020-07-02,0.0,0,0,0,78,city,SC
Araquari,4201307.0,2020-07-02,27,38129.0,True,False,74,194.078,2020-07-02,0.0135,1,6,0,66,city,SC
Araranguá,4201406.0,2020-07-02,27,68228.0,True,False,112,164.15548,2020-07-02,0.0268,3,4,0,91,city,SC
Armazém,4201505.0,2020-07-02,27,8674.0,True,False,33,380.44731,2020-07-02,0.0,0,0,0,78,city,SC
Arroio Trinta,4201604.0,2020-07-02,27,3550.0,True,False,25,704.22535,2020-07-02,0.0,0,0,0,29,city,SC
Arvoredo,4201653.0,2020-07-02,27,2240.0,True,False,20,892.8571400000001,2020-07-02,0.05,1,0,0,60,city,SC
Ascurra,4201703.0,2020-07-02,27,7934.0,True,False,15,189.05973999999998,2020-07-02,0.0,0,0,0,36,city,SC
Atalanta,4201802.0,2020-07-02,27,3210.0,True,False,5,155.76324,2020-07-02,0.0,0,0,0,47,city,SC
Aurora,4201901.0,2020-07-02,27,5679.0,True,False,12,211.30481,2020-07-02,0.0,0,0,0,85,city,SC
Balneário Arroio do Silva,4201950.0,2020-07-02,27,13071.0,True,False,63,481.98302,2020-07-02,0.0159,1,0,0,100,city,SC
Balneário Barra do Sul,4202057.0,2020-07-02,27,10795.0,True,False,28,259.37934,2020-07-02,0.0,0,1,0,70,city,SC
Balneário Camboriú,4202008.0,2020-07-02,27,142295.0,True,False,1628,1144.10204,2020-07-02,0.0098,16,41,1,107,city,SC
Balneário Gaivota,4202073.0,2020-07-02,27,10979.0,True,False,17,154.84106,2020-07-02,0.1176,2,1,0,90,city,SC
Balneário Piçarras,4212809.0,2020-07-02,27,23147.0,True,False,108,466.58314,2020-07-02,0.0093,1,4,0,85,city,SC
Balneário Rincão,4220000.0,2020-07-02,27,12760.0,True,False,11,86.2069,2020-07-02,0.0909,1,1,1,59,city,SC
Barra Velha,4202107.0,2020-07-02,27,29168.0,True,False,71,243.41744,2020-07-02,0.0,0,6,0,85,city,SC
Bela Vista do Toldo,4202131.0,2020-07-02,27,6337.0,True,False,2,31.560679999999998,2020-07-02,0.0,0,0,0,25,city,SC
Benedito Novo,4202206.0,2020-07-02,27,11652.0,True,False,17,145.8977,2020-07-02,0.0,0,2,0,62,city,SC
Biguaçu,4202305.0,2020-07-02,27,68481.0,True,False,245,357.76347000000004,2020-07-02,0.0163,4,10,1,92,city,SC
Blumenau,4202404.0,2020-07-02,27,357199.0,True,False,1976,553.19304,2020-07-02,0.0056,11,238,1,103,city,SC
Bocaina do Sul,4202438.0,2020-07-02,27,3474.0,True,False,1,28.785259999999997,2020-07-02,0.0,0,0,0,28,city,SC
Bombinhas,4202453.0,2020-07-02,27,19769.0,True,False,185,935.80859,2020-07-02,0.0,0,6,0,59,city,SC
Bom Jardim da Serra,4202503.0,2020-07-02,27,4743.0,True,False,1,21.0837,2020-07-02,0.0,0,0,0,30,city,SC
Bom Jesus,4202537.0,2020-07-02,27,3010.0,True,False,33,1096.3455099999999,2020-07-02,0.0,0,0,0,24,city,SC
Bom Retiro,4202602.0,2020-07-02,27,9966.0,True,False,2,20.06823,2020-07-02,0.0,0,0,0,14,city,SC
Botuverá,4202701.0,2020-07-02,27,5246.0,True,False,11,209.68357,2020-07-02,0.0,0,3,0,88,city,SC
Braço do Norte,4202800.0,2020-07-02,27,33450.0,True,False,266,795.2167400000001,2020-07-02,0.0113,3,21,0,110,city,SC
Braço do Trombudo,4202859.0,2020-07-02,27,3743.0,True,False,5,133.58268999999999,2020-07-02,0.0,0,0,0,24,city,SC
Brunópolis,4202875.0,2020-07-02,27,2420.0,True,False,10,413.22314,2020-07-02,0.0,0,0,0,26,city,SC
Brusque,4202909.0,2020-07-02,27,134723.0,True,False,440,326.59605,2020-07-02,0.0068,3,8,0,97,city,SC
