city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Amparo de São Francisco,2800100.0,2020-07-02,27,2374.0,False,True,8,336.98399,2020-07-01,0.0,0,0,0,54,city,SE
Aquidabã,2800209.0,2020-07-02,27,21563.0,False,True,106,491.5828,2020-07-01,0.0566,6,0,0,66,city,SE
Aracaju,2800308.0,2020-07-02,27,657013.0,False,True,15117,2300.86771,2020-07-01,0.0199,301,0,0,111,city,SE
Arauá,2800407.0,2020-07-02,27,10056.0,False,True,47,467.38266,2020-07-01,0.1064,5,0,0,62,city,SE
Areia Branca,2800506.0,2020-07-02,27,18542.0,False,True,161,868.299,2020-07-01,0.0435,7,0,0,67,city,SE
Barra dos Coqueiros,2800605.0,2020-07-02,27,30407.0,False,True,496,1631.20334,2020-07-01,0.0141,7,0,0,69,city,SE
Boquim,2800670.0,2020-07-02,27,26816.0,False,True,91,339.34963999999997,2020-07-01,0.0769,7,0,0,63,city,SE
Brejo Grande,2800704.0,2020-07-02,27,8309.0,False,True,8,96.28114000000001,2020-07-01,0.0,0,0,0,46,city,SE
Campo do Brito,2801009.0,2020-07-02,27,18109.0,False,True,47,259.53946,2020-07-01,0.0638,3,0,0,62,city,SE
Canhoba,2801108.0,2020-07-02,27,4008.0,False,True,6,149.7006,2020-07-01,0.0,0,0,0,44,city,SE
Canindé de São Francisco,2801207.0,2020-07-02,27,29900.0,False,True,69,230.76923,2020-07-01,0.0435,3,0,0,67,city,SE
Capela,2801306.0,2020-07-02,27,34213.0,False,True,240,701.48774,2020-07-01,0.0292,7,0,0,92,city,SE
Carira,2801405.0,2020-07-02,27,22082.0,False,True,64,289.82882,2020-07-01,0.0938,6,0,0,64,city,SE
Carmópolis,2801504.0,2020-07-02,27,16634.0,False,True,88,529.0369099999999,2020-07-01,0.0341,3,0,0,55,city,SE
Cedro de São João,2801603.0,2020-07-02,27,5897.0,False,True,53,898.7620800000001,2020-07-01,0.0,0,0,0,61,city,SE
Cristinápolis,2801702.0,2020-07-02,27,17874.0,False,True,26,145.46268,2020-07-01,0.0769,2,0,0,68,city,SE
Cumbe,2801900.0,2020-07-02,27,3987.0,False,True,7,175.5706,2020-07-01,0.1429,1,0,0,43,city,SE
Divina Pastora,2802007.0,2020-07-02,27,5138.0,False,True,54,1050.9926,2020-07-01,0.0,0,0,0,62,city,SE
Estância,2802106.0,2020-07-02,27,69184.0,False,True,672,971.32285,2020-07-01,0.0327,22,0,0,75,city,SE
Feira Nova,2802205.0,2020-07-02,27,5584.0,False,True,9,161.17479,2020-07-01,0.1111,1,0,0,48,city,SE
Frei Paulo,2802304.0,2020-07-02,27,15421.0,False,True,118,765.19032,2020-07-01,0.0339,4,0,0,63,city,SE
Gararu,2802403.0,2020-07-02,27,11604.0,False,True,7,60.32403000000001,2020-07-01,0.1429,1,0,0,55,city,SE
