city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Adamantina,3500105.0,2020-07-02,27,35068.0,False,True,58,165.39295,2020-07-01,0.0862,5,0,0,91,city,SP
Adolfo,3500204.0,2020-07-02,27,3562.0,False,True,22,617.63054,2020-07-01,0.0909,2,0,0,64,city,SP
Aguaí,3500303.0,2020-07-02,27,36305.0,False,True,75,206.58312,2020-07-01,0.0533,4,0,0,71,city,SP
Águas da Prata,3500402.0,2020-07-02,27,8180.0,False,True,2,24.44988,2020-07-01,0.5,1,0,0,65,city,SP
Águas de Lindóia,3500501.0,2020-07-02,27,18705.0,False,True,42,224.53888999999998,2020-07-01,0.0952,4,0,0,92,city,SP
Águas de Santa Bárbara,3500550.0,2020-07-02,27,6075.0,False,True,6,98.76543000000001,2020-07-01,0.0,0,0,0,56,city,SP
Águas de São Pedro,3500600.0,2020-07-02,27,3451.0,False,True,8,231.81686000000002,2020-07-01,0.0,0,0,0,84,city,SP
Agudos,3500709.0,2020-07-02,27,37214.0,False,True,120,322.45929,2020-07-01,0.025,3,0,0,92,city,SP
Alambari,3500758.0,2020-07-02,27,6025.0,False,True,16,265.56017,2020-07-01,0.0,0,0,0,78,city,SP
Alfredo Marcondes,3500808.0,2020-07-02,27,4166.0,False,True,5,120.0192,2020-07-01,0.4,2,0,0,45,city,SP
Altair,3500907.0,2020-07-02,27,4160.0,False,True,2,48.07692,2020-07-01,0.0,0,0,0,48,city,SP
Altinópolis,3501004.0,2020-07-02,27,16184.0,False,True,18,111.22096,2020-07-01,0.0,0,0,0,51,city,SP
Alto Alegre,3501103.0,2020-07-02,27,4099.0,False,True,3,73.18858,2020-07-01,0.3333,1,0,0,55,city,SP
Alumínio,3501152.0,2020-07-02,27,18628.0,False,True,49,263.04488,2020-07-01,0.0408,2,0,0,52,city,SP
Álvares Florence,3501202.0,2020-07-02,27,3679.0,False,True,5,135.9065,2020-07-01,0.0,0,0,0,35,city,SP
Álvares Machado,3501301.0,2020-07-02,27,24915.0,False,True,60,240.81877999999998,2020-07-01,0.0167,1,0,0,66,city,SP
Álvaro de Carvalho,3501400.0,2020-07-02,27,5227.0,False,True,3,57.3943,2020-07-01,0.6667,2,0,0,56,city,SP
Alvinlândia,3501509.0,2020-07-02,27,3222.0,False,True,1,31.036620000000003,2020-07-01,0.0,0,0,0,31,city,SP
Americana,3501608.0,2020-07-02,27,239597.0,False,True,579,241.65578,2020-07-01,0.0449,26,0,0,94,city,SP
Américo Brasiliense,3501707.0,2020-07-02,27,40504.0,False,True,133,328.36262999999997,2020-07-01,0.015,2,0,0,83,city,SP
