city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Abreulândia,1700251.0,2020-07-02,27,2579.0,False,True,4,155.09888,2020-07-01,0.25,1,0,0,59,city,TO
Aguiarnópolis,1700301.0,2020-07-02,27,6733.0,False,True,151,2242.68528,2020-07-01,0.0265,4,0,0,62,city,TO
Aliança do Tocantins,1700350.0,2020-07-02,27,5390.0,False,True,9,166.97588000000002,2020-07-01,0.0,0,0,0,58,city,TO
Almas,1700400.0,2020-07-02,27,7055.0,False,True,3,42.52303,2020-07-01,0.3333,1,0,0,41,city,TO
Alvorada,1700707.0,2020-07-02,27,8412.0,False,True,20,237.75558999999998,2020-07-01,0.0,0,0,0,57,city,TO
Ananás,1701002.0,2020-07-02,27,9549.0,False,True,37,387.47513,2020-07-01,0.0,0,0,0,62,city,TO
Angico,1701051.0,2020-07-02,27,3433.0,False,True,11,320.41946,2020-07-01,0.0,0,0,0,46,city,TO
Aparecida do Rio Negro,1701101.0,2020-07-02,27,4795.0,False,True,1,20.85506,2020-07-01,0.0,0,0,0,41,city,TO
Aragominas,1701309.0,2020-07-02,27,5758.0,False,True,39,677.31851,2020-07-01,0.0,0,0,0,50,city,TO
Araguacema,1701903.0,2020-07-02,27,7086.0,False,True,2,28.22467,2020-07-01,0.0,0,0,0,41,city,TO
Araguaçu,1702000.0,2020-07-02,27,8517.0,False,True,54,634.02607,2020-07-01,0.0185,1,0,0,47,city,TO
Araguaína,1702109.0,2020-07-02,27,180470.0,False,True,4097,2270.18341,2020-07-01,0.0146,60,0,0,98,city,TO
Araguanã,1702158.0,2020-07-02,27,5729.0,False,True,34,593.47181,2020-07-01,0.0294,1,0,0,42,city,TO
Araguatins,1702208.0,2020-07-02,27,35761.0,False,True,218,609.6026400000001,2020-07-01,0.0734,16,0,0,63,city,TO
Arapoema,1702307.0,2020-07-02,27,6643.0,False,True,8,120.42752,2020-07-01,0.25,2,0,0,51,city,TO
Arraias,1702406.0,2020-07-02,27,10567.0,False,True,5,47.31712,2020-07-01,0.0,0,0,0,41,city,TO
Augustinópolis,1702554.0,2020-07-02,27,18412.0,False,True,265,1439.27873,2020-07-01,0.0151,4,0,0,67,city,TO
Aurora do Tocantins,1702703.0,2020-07-02,27,3757.0,False,True,9,239.55282999999997,2020-07-01,0.0,0,0,0,56,city,TO
Axixá do Tocantins,1702901.0,2020-07-02,27,9756.0,False,True,96,984.00984,2020-07-01,0.0312,3,0,0,65,city,TO
Babaçulândia,1703008.0,2020-07-02,27,10664.0,False,True,27,253.1883,2020-07-01,0.0,0,0,0,47,city,TO
Bandeirantes do Tocantins,1703057.0,2020-07-02,27,3553.0,False,True,12,337.74275,2020-07-01,0.0,0,0,0,65,city,TO
Barra do Ouro,1703073.0,2020-07-02,27,4591.0,False,True,9,196.03572,2020-07-01,0.2222,2,0,0,42,city,TO
Barrolândia,1703107.0,2020-07-02,27,5632.0,False,True,31,550.42614,2020-07-01,0.0323,1,0,0,59,city,TO
Bernardo Sayão,1703206.0,2020-07-02,27,4459.0,False,True,0,,2020-07-01,0.0,0,0,0,41,city,TO
Bom Jesus do Tocantins,1703305.0,2020-07-02,27,4894.0,False,True,5,102.16592,2020-07-01,0.0,0,0,0,41,city,TO
Brasilândia do Tocantins,1703602.0,2020-07-02,27,2201.0,False,True,2,90.86779,2020-07-01,0.0,0,0,0,41,city,TO
Brejinho de Nazaré,1703701.0,2020-07-02,27,5497.0,False,True,8,145.53393,2020-07-01,0.0,0,0,0,41,city,TO
