city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population_2019,is_last,order_for_place,place_type,state
Rio Casca,3154903,39,287.5258,2020-06-26,0.0,0,13564.0,True,22,city,MG
Rio Espera,3155207,4,73.07271,2020-06-26,0.25,1,5474.0,True,31,city,MG
Rio Manso,3155306,25,428.66941,2020-06-26,0.12,3,5832.0,True,36,city,MG
Rio Novo,3155405,5,55.87216,2020-06-26,0.0,0,8949.0,True,50,city,MG
Rio Paranaíba,3155504,68,552.26184,2020-06-26,0.0,0,12313.0,True,35,city,MG
Rio Pardo de Minas,3155603,9,29.11302,2020-06-26,0.0,0,30914.0,True,17,city,MG
Rio Piracicaba,3155702,76,530.02301,2020-06-26,0.0,0,14339.0,True,38,city,MG
Rio Pomba,3155801,18,100.50251,2020-06-26,0.0556,1,17910.0,True,46,city,MG
Rio Vermelho,3156007,4,31.1381,2020-06-26,0.0,0,12846.0,True,24,city,MG
Rodeiro,3156304,18,221.97558,2020-06-26,0.0556,1,8109.0,True,45,city,MG
Romaria,3156403,3,84.91367,2020-06-26,0.0,0,3533.0,True,1,city,MG
Rosário da Limeira,3156452,3,65.30257,2020-06-26,0.0,0,4594.0,True,22,city,MG
Rubelita,3156502,2,33.36113,2020-06-26,0.0,0,5995.0,True,11,city,MG
Rubim,3156601,1,9.76467,2020-06-26,0.0,0,10241.0,True,7,city,MG
Sabará,3156700,177,129.81869,2020-06-26,0.0169,3,136344.0,True,92,city,MG
Sabinópolis,3156809,3,19.39237,2020-06-26,0.0,0,15470.0,True,6,city,MG
Sacramento,3156908,6,22.91388,2020-06-26,0.0,0,26185.0,True,47,city,MG
Salinas,3157005,131,315.45741,2020-06-26,0.0153,2,41527.0,True,18,city,MG
Salto da Divisa,3157104,2,28.53474,2020-06-26,0.0,0,7009.0,True,45,city,MG
Santa Bárbara,3157203,122,389.47772,2020-06-26,0.0,0,31324.0,True,50,city,MG
Santa Bárbara do Leste,3157252,14,171.8424,2020-06-26,0.0,0,8147.0,True,16,city,MG
Santa Bárbara do Tugúrio,3157302,4,90.29345,2020-06-26,0.0,0,4430.0,True,12,city,MG
Santa Cruz de Minas,3157336,16,185.96002,2020-06-26,0.125,2,8604.0,True,46,city,MG
Santa Efigênia de Minas,3157500,1,22.68088,2020-06-26,1.0,1,4409.0,True,21,city,MG
Santa Helena de Minas,3157658,2,31.4169,2020-06-26,0.0,0,6366.0,True,24,city,MG
